SHEF_B,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abandoned Vehicles,637.0,901.0,1077.0,992.0,1447.0,1829.0,1763.0,2726.0,4723.0,8664.0,9884.0,9845.0,11972.0,13776.0
Bin Replacement,,,,,,7.0,15.0,20.0,30.0,94.0,87.0,167.0,387.0,699.0
Bridge/Culvert Defects,,,,,,,9.0,29.0,132.0,124.0,153.0,311.0,812.0,1345.0
Bus Stops Damage,45.0,158.0,187.0,173.0,179.0,203.0,221.0,268.0,517.0,616.0,700.0,840.0,1258.0,1085.0
Dangerous Building/Structure,,,,,70.0,136.0,164.0,195.0,42.0,,,,,116.0
Dog Fouling,585.0,1358.0,1473.0,1524.0,1582.0,2218.0,2144.0,1999.0,2290.0,2606.0,2716.0,3271.0,3295.0,3659.0
Drainage,,1.0,19.0,45.0,162.0,750.0,1478.0,3119.0,3258.0,4091.0,3834.0,9758.0,18106.0,24341.0
Environmental Health,,,2.0,,18.0,116.0,296.0,498.0,609.0,804.0,764.0,1023.0,1216.0,1905.0
Fences,,,,,,,13.0,23.0,95.0,103.0,80.0,5.0,32.0,108.0
Floral Displays,,,,,,1.0,14.0,29.0,36.0,31.0,32.0,26.0,,
Gritting,,,,,9.0,37.0,99.0,30.0,45.0,67.0,75.0,284.0,579.0,303.0
Grounds Maintenance,,,2.0,,,59.0,106.0,143.0,137.0,178.0,194.0,477.0,927.0,2464.0
Highways Enquiries,697.0,2337.0,4656.0,5882.0,6645.0,9089.0,11853.0,14220.0,14850.0,16065.0,15266.0,18412.0,17362.0,18541.0
Incivilities,675.0,1486.0,1841.0,1866.0,2052.0,2654.0,2237.0,3202.0,4691.0,4829.0,4938.0,5738.0,8458.0,11876.0
Open Spaces/Parks,211.0,359.0,628.0,713.0,698.0,965.0,1040.0,1868.0,2310.0,3221.0,3214.0,3784.0,6029.0,7542.0
Other,2256.0,2491.0,5079.0,6083.0,4940.0,3966.0,4216.0,5760.0,8549.0,11745.0,11514.0,14090.0,25805.0,24710.0
Overgrown/Fallen Veg/Trees,203.0,459.0,973.0,1047.0,1207.0,2187.0,3642.0,5363.0,6361.0,7775.0,8539.0,12408.0,20763.0,31943.0
Parking,248.0,650.0,1868.0,1737.0,1810.0,1709.0,1818.0,2883.0,4463.0,6005.0,6909.0,7246.0,7935.0,10312.0
Pavement /Footway Defects,757.0,1844.0,3312.0,4154.0,3857.0,5423.0,6690.0,10414.0,11549.0,13226.0,14767.0,16632.0,15701.0,18471.0
Property Damage,,,,,,,20.0,47.0,78.0,85.0,63.0,16.0,12.0,3.0
Public Toilets,10.0,17.0,45.0,50.0,35.0,85.0,111.0,105.0,96.0,80.0,91.0,102.0,134.0,129.0
Retaining Wall,,,,,,,,,,29.0,51.0,57.0,63.0,77.0
Right of Way,,,12.0,28.0,63.0,381.0,632.0,1289.0,3433.0,4147.0,4474.0,5195.0,10498.0,16213.0
Road Safety,289.0,954.0,1699.0,2078.0,2502.0,3069.0,3702.0,5471.0,6806.0,7580.0,8554.0,11796.0,19097.0,21743.0
Road Surface Defects,772.0,3155.0,7752.0,17873.0,20198.0,19270.0,34600.0,35451.0,31383.0,35805.0,38275.0,98658.0,80220.0,109827.0
Rubbish,1621.0,3373.0,5581.0,6890.0,8051.0,11974.0,17071.0,27099.0,38896.0,55802.0,55544.0,63183.0,88949.0,122964.0
Street Furniture,140.0,312.0,492.0,570.0,611.0,799.0,1200.0,1703.0,1855.0,1842.0,1855.0,4795.0,12957.0,17648.0
Street Lights,792.0,2629.0,4330.0,5833.0,7566.0,9164.0,10837.0,13892.0,14560.0,14634.0,15870.0,24356.0,37699.0,41402.0
Utility Works,,,3.0,,1.0,,35.0,63.0,90.0,211.0,345.0,296.0,459.0,983.0
