SHEF_A,No Photo,Photo
Abandoned Vehicles,43910.0,26326.0
Accumulated Litter,5289.0,2158.0
Admin,1306.0,74.0
Barriers/Bollards on RoW,481.0,281.0
Benches/Bicycle Racks,86.0,72.0
Bin Collection,441.0,175.0
Bin Repair/Replacement,700.0,500.0
Blocked Drains,30614.0,10652.0
Bridge/Culvert Defects,2148.0,767.0
Broken Fire Hydrant,1.0,1.0
Broken Kerbs,1289.0,645.0
Bus Stops Damage,4318.0,2132.0
C.C.T.V Faults,2.0,1.0
Countryside RoW,21.0,13.0
Dangerous Building/Structure,411.0,196.0
Dead Animals,6282.0,715.0
Debris/Spillage,2505.0,484.0
Demo,11.0,32.0
Discarded Syringes,160.0,17.0
Dog Fouling,24059.0,6661.0
Dog Litter Bin,229.0,77.0
Dumped Rubbish,19503.0,11060.0
Environmental Health,170.0,38.0
Fallen/Dangerous Trees,33844.0,12759.0
Fences,324.0,135.0
Flooding,7094.0,2136.0
Floral displays,123.0,46.0
Fly-tipping,140836.0,171842.0
Flyposting,4551.0,2894.0
Garden Waste,3062.0,413.0
Gates/Stiles RoW,224.0,119.0
General Highways Enquiries,6436.0,1914.0
Graffiti,23860.0,24754.0
Grass/Weed Control,14406.0,3855.0
Grids and Drains,196.0,102.0
Grit Bins,694.0,47.0
Gritting,193.0,22.0
Grounds Maintenance,27.0,7.0
Gullies,5908.0,1457.0
Gully/Manhole Defects,1755.0,851.0
Highway Condition,114650.0,33319.0
Highway Drainage,149.0,62.0
Ice & Snow,304.0,31.0
Leafing,1398.0,601.0
Lewisham Homes,186.0,555.0
Lit Signs,,1.0
Litter/Litter Bin,10918.0,6094.0
Manhole Covers,5991.0,1735.0
Manhole Defects,191.0,69.0
Missed Bin Collection,1426.0,1113.0
Noise,119.0,8.0
Obstruction,15687.0,5650.0
Open Spaces/Parks,17814.0,14759.0
Other,97215.0,29622.0
Overgrown Vegetation,30190.0,9377.0
Parking,32441.0,23152.0
Pavement /Footway Defects,91844.0,56374.0
Pest Control,41.0,5.0
Phoenix HA,17.0,65.0
Potholes,372292.0,71810.0
Property Damage,215.0,109.0
Protected Trees,1.0,2.0
Public Toilets,874.0,216.0
Recycling,517.0,435.0
Retaining Wall,158.0,119.0
Right of Way,5585.0,3839.0
Road Markings,10811.0,3260.0
Road Safety,441.0,48.0
Road Surface Defects,48189.0,15399.0
Road Works,3737.0,613.0
Road/Pavement Defects,10166.0,2539.0
Rubbish,32817.0,25998.0
Salt Bins,227.0,10.0
Shopping Trolley,438.0,469.0
Sign or Marking,14.0,2.0
Skips,122.0,38.0
Spillage on Road,1352.0,296.0
Street Cleaning,63154.0,31577.0
Street Furniture,2596.0,950.0
Street Lights,176838.0,26726.0
Street Name Plates,7106.0,2728.0
Street Signs,41678.0,15582.0
To Let Signs,30.0,2.0
Trade Waste,59.0,202.0
Traffic Lights,20452.0,2243.0
Trees and Hedges RoW,2923.0,1418.0
Trees on RoW,476.0,298.0
Trenches,1.0,
Trip Hazard,1895.0,826.0
Untaxed Vehcile,111.0,35.0
Utility Works,1998.0,487.0
Vehicle Access,23.0,8.0
Zebra Crossing,51.0,2.0
