year,1,2,3,4,5,6,7,8,9,10
2007,20.0,16.0,28.0,33.0,28.0,22.0,19.0,21.0,23.0,32.0
2008,42.0,59.0,53.0,52.0,83.0,71.0,62.0,42.0,49.0,86.0
2009,100.0,104.0,94.0,137.0,163.0,134.0,105.0,123.0,139.0,153.0
2010,159.0,150.0,121.0,177.0,164.0,205.0,165.0,181.0,198.0,309.0
2011,165.0,154.0,158.0,184.0,206.0,239.0,175.0,178.0,256.0,299.0
2012,195.0,206.0,147.0,222.0,245.0,229.0,217.0,240.0,250.0,330.0
2013,195.0,161.0,118.0,204.0,202.0,274.0,189.0,207.0,258.0,281.0
2014,355.0,353.0,270.0,401.0,316.0,446.0,312.0,325.0,374.0,550.0
2015,359.0,313.0,275.0,408.0,331.0,447.0,327.0,319.0,381.0,548.0
2016,494.0,407.0,372.0,621.0,477.0,551.0,459.0,381.0,527.0,660.0
2017,587.0,462.0,446.0,589.0,503.0,590.0,598.0,388.0,488.0,688.0
2018,820.0,649.0,676.0,655.0,820.0,927.0,693.0,670.0,809.0,933.0
2019,739.0,962.0,803.0,891.0,729.0,1006.0,736.0,656.0,797.0,929.0
2020,971.0,1187.0,899.0,872.0,753.0,1077.0,793.0,782.0,1009.0,980.0
