SHEF_A,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abandoned Vehicles,637.0,901.0,1077.0,980.0,1413.0,1414.0,957.0,1356.0,2495.0,5297.0,6421.0,6482.0,7201.0,7819.0
Accumulated Litter,,,,,,37.0,79.0,138.0,271.0,288.0,291.0,432.0,625.0,557.0
Admin,,,,,,,,,,1249.0,131.0,,,
Barriers/Bollards on RoW,,,1.0,2.0,,3.0,5.0,9.0,9.0,28.0,18.0,46.0,101.0,135.0
Benches/Bicycle Racks,,,1.0,1.0,3.0,3.0,1.0,3.0,,6.0,8.0,15.0,30.0,18.0
Bin Collection,,,1.0,1.0,73.0,122.0,133.0,155.0,48.0,11.0,8.0,7.0,30.0,22.0
Bin Repair/Replacement,,,,,,,,,,75.0,75.0,110.0,178.0,285.0
Blocked Drains,,,13.0,29.0,143.0,402.0,545.0,993.0,735.0,908.0,832.0,1884.0,4328.0,5289.0
Bridge/Culvert Defects,,,,,,,4.0,8.0,31.0,37.0,48.0,126.0,390.0,706.0
Broken Fire Hydrant,,,,,,,,,1.0,,,,1.0,
Broken Kerbs,,,,,,2.0,,,,,,70.0,267.0,564.0
Bus Stops Damage,45.0,158.0,187.0,170.0,177.0,184.0,194.0,257.0,490.0,588.0,677.0,676.0,975.0,877.0
C.C.T.V Faults,,,,,,,,,,,2.0,,1.0,
Countryside RoW,,,,,2.0,5.0,4.0,4.0,4.0,6.0,3.0,4.0,1.0,1.0
Dangerous Building/Structure,,,,,62.0,125.0,164.0,195.0,42.0,,,,,
Dead Animals,,,1.0,,18.0,37.0,44.0,68.0,52.0,85.0,99.0,144.0,245.0,596.0
Debris/Spillage,,,,,,1.0,15.0,91.0,166.0,189.0,210.0,66.0,209.0,383.0
Demo,,,,,,,,,,,7.0,11.0,6.0,19.0
Discarded Syringes,,,,,,,1.0,,,,1.0,1.0,1.0,3.0
Dog Fouling,585.0,1358.0,1473.0,1509.0,1560.0,2067.0,1607.0,1566.0,1859.0,2112.0,2386.0,2852.0,2647.0,2772.0
Dog Litter Bin,,,,,,,6.0,6.0,19.0,12.0,12.0,12.0,49.0,110.0
Dumped Rubbish,,,,,492.0,1223.0,1606.0,3046.0,1354.0,1449.0,1549.0,1520.0,,
Environmental Health,,,,,,,3.0,7.0,1.0,4.0,3.0,9.0,14.0,14.0
Fallen/Dangerous Trees,203.0,459.0,973.0,1005.0,1089.0,1164.0,1323.0,1965.0,2217.0,2644.0,3222.0,3430.0,5078.0,7601.0
Fences,,,,,,,2.0,3.0,30.0,47.0,51.0,5.0,29.0,69.0
Flooding,,,,,,1.0,,6.0,17.0,58.0,37.0,282.0,1853.0,2527.0
Floral displays,,,,,,,2.0,8.0,2.0,8.0,19.0,10.0,,
Fly-tipping,805.0,1630.0,2626.0,3246.0,3692.0,3934.0,4538.0,6914.0,16844.0,26090.0,28347.0,33701.0,49615.0,67743.0
Flyposting,20.0,90.0,197.0,231.0,246.0,304.0,238.0,374.0,576.0,835.0,589.0,707.0,1127.0,865.0
Garden Waste,,,,,,,,,,2817.0,118.0,99.0,161.0,137.0
Gates/Stiles RoW,,,,,,,,5.0,3.0,,,,10.0,77.0
General Highways Enquiries,,,,,,62.0,164.0,234.0,316.0,298.0,411.0,420.0,618.0,605.0
Graffiti,655.0,1396.0,1644.0,1621.0,1719.0,1974.0,1490.0,1935.0,2850.0,3239.0,3549.0,4071.0,5089.0,6403.0
Grass/Weed Control,,,,,,12.0,102.0,229.0,361.0,601.0,713.0,1027.0,1313.0,2149.0
Grids and Drains,,,,,,,,,,14.0,15.0,37.0,44.0,82.0
Grit Bins,,,,,,,,,,,1.0,43.0,99.0,78.0
Gritting,,,,,5.0,12.0,16.0,4.0,5.0,2.0,18.0,20.0,7.0,7.0
Grounds Maintenance,,,2.0,,,5.0,3.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0
Gullies,,,,2.0,,1.0,9.0,34.0,65.0,81.0,92.0,107.0,327.0,2098.0
Gully/Manhole Defects,,1.0,6.0,14.0,7.0,,,3.0,49.0,73.0,97.0,166.0,250.0,286.0
Highway Condition,697.0,2337.0,4655.0,5736.0,6501.0,8479.0,10161.0,12214.0,12833.0,14329.0,13338.0,15693.0,14735.0,16198.0
Highway Drainage,,,,,,1.0,6.0,4.0,4.0,15.0,27.0,51.0,49.0,54.0
Ice & Snow,,,,,,,1.0,3.0,2.0,14.0,11.0,14.0,20.0,26.0
Leafing,,,,,,2.0,3.0,44.0,58.0,62.0,126.0,26.0,142.0,128.0
Lewisham Homes,,,,,,,,,,130.0,83.0,165.0,181.0,182.0
