year,1,2,3,4,5,6,7,8,9,10
2007,14.0,22.0,17.0,40.0,30.0,15.0,15.0,17.0,26.0,46.0
2008,31.0,52.0,63.0,68.0,55.0,85.0,45.0,50.0,54.0,96.0
2009,97.0,110.0,126.0,129.0,107.0,126.0,122.0,135.0,109.0,191.0
2010,127.0,143.0,205.0,191.0,140.0,136.0,169.0,172.0,227.0,257.0
2011,122.0,181.0,210.0,189.0,143.0,171.0,196.0,207.0,260.0,306.0
2012,143.0,170.0,275.0,258.0,190.0,162.0,219.0,268.0,260.0,339.0
2013,148.0,142.0,225.0,192.0,178.0,215.0,208.0,242.0,245.0,296.0
2014,309.0,315.0,358.0,373.0,399.0,291.0,372.0,330.0,416.0,548.0
2015,256.0,386.0,369.0,338.0,381.0,310.0,408.0,314.0,435.0,522.0
2016,293.0,481.0,499.0,505.0,499.0,416.0,507.0,446.0,590.0,724.0
2017,403.0,466.0,605.0,514.0,560.0,511.0,498.0,501.0,601.0,684.0
2018,529.0,810.0,837.0,659.0,681.0,670.0,738.0,757.0,1005.0,968.0
2019,747.0,970.0,718.0,792.0,717.0,753.0,831.0,757.0,960.0,1008.0
2020,746.0,946.0,860.0,942.0,896.0,807.0,1081.0,819.0,1095.0,1130.0
