SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2861.0,4375.0,4528.0,4949.0,4118.0,3920.0,3777.0,3560.0,3499.0,2774.0
Bridge/Culvert Defects,16.0,31.0,41.0,94.0,65.0,85.0,113.0,109.0,100.0,98.0
Bus Stops Damage,438.0,574.0,553.0,671.0,451.0,436.0,446.0,417.0,393.0,464.0
Dangerous Building/Structure,8.0,67.0,84.0,90.0,52.0,74.0,52.0,40.0,36.0,22.0
Dog Fouling,1892.0,2174.0,1975.0,2340.0,2244.0,1855.0,1835.0,1803.0,1626.0,1316.0
Environmental Health,11.0,97.0,71.0,138.0,123.0,114.0,86.0,95.0,105.0,55.0
Fences,3.0,15.0,18.0,20.0,16.0,34.0,18.0,19.0,24.0,15.0
Gritting,12.0,18.0,15.0,25.0,29.0,29.0,42.0,28.0,28.0,29.0
Grounds Maintenance,114.0,95.0,66.0,90.0,94.0,134.0,157.0,197.0,164.0,101.0
Open Spaces/Parks,2039.0,2975.0,2856.0,2750.0,2131.0,2005.0,2119.0,2076.0,2115.0,1934.0
Other,7758.0,8087.0,7954.0,8138.0,8178.0,8444.0,8592.0,7683.0,7484.0,7065.0
Parking,4115.0,5060.0,4899.0,5004.0,4745.0,4393.0,4135.0,4462.0,4013.0,3577.0
Pavement /Footway Defects,6422.0,7300.0,7162.0,8259.0,8442.0,8437.0,9321.0,9292.0,10167.0,10831.0
Property Damage,6.0,3.0,8.0,4.0,20.0,13.0,21.0,17.0,23.0,20.0
Public Toilets,57.0,76.0,77.0,72.0,99.0,87.0,113.0,81.0,78.0,64.0
Retaining Wall,7.0,7.0,10.0,5.0,1.0,3.0,8.0,2.0,11.0,3.0
Right of Way,310.0,604.0,1177.0,1854.0,1869.0,1942.0,2149.0,1954.0,1930.0,1586.0
Road Safety,3204.0,3945.0,4229.0,5133.0,5155.0,5833.0,6289.0,6218.0,6071.0,5862.0
Road Surface Defects,12660.0,15397.0,18573.0,23725.0,29910.0,34620.0,40552.0,41060.0,42120.0,39599.0
Rubbish,41043.0,50462.0,50619.0,49322.0,37730.0,35975.0,26591.0,23729.0,19478.0,13864.0
Street Furniture,553.0,1591.0,1504.0,2211.0,2619.0,1872.0,2171.0,2848.0,2336.0,1554.0
Street Lights,8468.0,9295.0,9589.0,10045.0,10990.0,10802.0,12208.0,13039.0,13892.0,15192.0
Utility Works,10.0,45.0,45.0,56.0,44.0,80.0,84.0,71.0,98.0,81.0
