SHEF_A,First Report,Reported Before
Abandoned Vehicles,18371.0,26079.0
Accumulated Litter,299.0,2419.0
Admin,19.0,1361.0
Barriers/Bollards on RoW,34.0,323.0
Benches/Bicycle Racks,8.0,81.0
Bin Collection,178.0,433.0
Bin Repair/Replacement,54.0,669.0
Blocked Drains,2268.0,13833.0
Bridge/Culvert Defects,158.0,1192.0
Broken Fire Hydrant,,2.0
Broken Kerbs,81.0,822.0
Bus Stops Damage,1244.0,4411.0
C.C.T.V Faults,,3.0
Countryside RoW,10.0,24.0
Dangerous Building/Structure,229.0,359.0
Dead Animals,180.0,1209.0
Debris/Spillage,238.0,1092.0
Demo,5.0,38.0
Discarded Syringes,4.0,3.0
Dog Fouling,10417.0,15936.0
Dog Litter Bin,17.0,209.0
Dumped Rubbish,1862.0,10377.0
Environmental Health,11.0,44.0
Fallen/Dangerous Trees,9638.0,22735.0
Fences,41.0,195.0
Flooding,345.0,4436.0
Floral displays,6.0,43.0
Fly-tipping,30186.0,219539.0
Flyposting,591.0,5808.0
Garden Waste,132.0,3200.0
Gates/Stiles RoW,12.0,83.0
General Highways Enquiries,409.0,2719.0
Graffiti,4079.0,33556.0
Grass/Weed Control,1012.0,5495.0
Grids and Drains,27.0,165.0
Grit Bins,9.0,212.0
Gritting,21.0,75.0
Grounds Maintenance,16.0,18.0
Gullies,172.0,2644.0
Gully/Manhole Defects,241.0,711.0
Highway Condition,33028.0,104878.0
Highway Drainage,46.0,165.0
Ice & Snow,31.0,60.0
Leafing,48.0,543.0
Lewisham Homes,44.0,697.0
Lit Signs,,1.0
Litter/Litter Bin,388.0,4938.0
Manhole Covers,582.0,3588.0
Manhole Defects,42.0,155.0
Missed Bin Collection,195.0,2251.0
Noise,42.0,61.0
Obstruction,666.0,6078.0
Open Spaces/Parks,4562.0,21358.0
Other,36825.0,71131.0
Overgrown Vegetation,1708.0,14569.0
Parking,24127.0,27079.0
Pavement /Footway Defects,28195.0,80638.0
Pest Control,4.0,27.0
Phoenix HA,3.0,79.0
Potholes,82326.0,252282.0
Property Damage,39.0,96.0
Protected Trees,,3.0
Public Toilets,215.0,751.0
Recycling,255.0,697.0
Retaining Wall,6.0,51.0
Right of Way,699.0,4847.0
Road Markings,487.0,4784.0
Road Safety,22.0,292.0
Road Surface Defects,2556.0,21407.0
Road Works,254.0,2090.0
Road/Pavement Defects,3177.0,8237.0
Rubbish,13058.0,41542.0
Salt Bins,3.0,22.0
Shopping Trolley,75.0,790.0
Sign or Marking,2.0,14.0
Skips,44.0,60.0
Spillage on Road,49.0,463.0
Street Cleaning,8299.0,51510.0
Street Furniture,219.0,1998.0
Street Lights,41617.0,102115.0
Street Name Plates,2161.0,6057.0
Street Signs,6010.0,33604.0
To Let Signs,1.0,22.0
Trade Waste,49.0,209.0
Traffic Lights,4437.0,14363.0
Trees and Hedges RoW,264.0,908.0
Trees on RoW,119.0,491.0
Trenches,,1.0
Trip Hazard,193.0,1426.0
Untaxed Vehcile,69.0,72.0
Utility Works,112.0,1135.0
Vehicle Access,9.0,22.0
Verge Damage,27.0,163.0
Zebra Crossing,5.0,48.0
