SHEF_A,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Abandoned Vehicles,7232.0,7213.0,6971.0,6698.0,6201.0,4854.0,5281.0
Accumulated Litter,503.0,407.0,438.0,405.0,336.0,286.0,343.0
Admin,220.0,315.0,266.0,259.0,300.0,10.0,10.0
Barriers/Bollards on RoW,48.0,51.0,69.0,56.0,54.0,43.0,36.0
Benches/Bicycle Racks,21.0,20.0,11.0,17.0,10.0,5.0,5.0
Bin Collection,104.0,107.0,82.0,107.0,73.0,59.0,79.0
Bin Repair/Replacement,122.0,142.0,138.0,114.0,100.0,57.0,50.0
Blocked Drains,2889.0,2573.0,2522.0,2715.0,2265.0,1371.0,1766.0
Bridge/Culvert Defects,262.0,236.0,236.0,223.0,196.0,89.0,108.0
Broken Fire Hydrant,1.0,,,1.0,,,
Broken Kerbs,153.0,169.0,153.0,154.0,138.0,57.0,79.0
Bus Stops Damage,985.0,905.0,865.0,791.0,734.0,672.0,703.0
C.C.T.V Faults,1.0,2.0,,,,,
Countryside RoW,4.0,7.0,4.0,1.0,4.0,4.0,10.0
Dangerous Building/Structure,87.0,99.0,96.0,81.0,62.0,80.0,83.0
Dead Animals,243.0,207.0,207.0,175.0,193.0,189.0,175.0
Debris/Spillage,223.0,214.0,220.0,241.0,196.0,98.0,138.0
Demo,4.0,8.0,14.0,1.0,5.0,5.0,6.0
Discarded Syringes,,1.0,,2.0,1.0,1.0,2.0
Dog Fouling,4383.0,4292.0,4269.0,4031.0,3515.0,2725.0,3138.0
Dog Litter Bin,42.0,48.0,39.0,30.0,22.0,16.0,29.0
Dumped Rubbish,2253.0,1996.0,1869.0,1688.0,1490.0,1333.0,1610.0
Environmental Health,9.0,3.0,13.0,9.0,5.0,11.0,5.0
Fallen/Dangerous Trees,5395.0,5481.0,5472.0,4980.0,4208.0,3085.0,3752.0
Fences,43.0,41.0,30.0,45.0,41.0,23.0,13.0
Flooding,746.0,906.0,758.0,991.0,718.0,316.0,346.0
Floral displays,7.0,5.0,8.0,11.0,4.0,6.0,8.0
Fly-tipping,43449.0,40839.0,37525.0,35820.0,31995.0,27796.0,32301.0
Flyposting,1065.0,1030.0,972.0,983.0,936.0,670.0,743.0
Garden Waste,463.0,485.0,786.0,724.0,740.0,69.0,65.0
Gates/Stiles RoW,16.0,17.0,17.0,11.0,16.0,8.0,10.0
General Highways Enquiries,468.0,571.0,515.0,488.0,426.0,289.0,371.0
Graffiti,6048.0,5846.0,5504.0,5393.0,4824.0,4598.0,5422.0
Grass/Weed Control,1112.0,1154.0,1192.0,1042.0,867.0,552.0,588.0
Grids and Drains,30.0,29.0,20.0,42.0,21.0,24.0,26.0
Grit Bins,41.0,39.0,36.0,61.0,34.0,3.0,7.0
Gritting,19.0,16.0,13.0,14.0,9.0,9.0,16.0
Grounds Maintenance,8.0,6.0,5.0,4.0,4.0,5.0,2.0
Gullies,514.0,518.0,477.0,434.0,350.0,260.0,263.0
Gully/Manhole Defects,124.0,129.0,171.0,154.0,139.0,106.0,129.0
Highway Condition,22169.0,21919.0,22101.0,20991.0,19135.0,14795.0,16796.0
Highway Drainage,33.0,32.0,30.0,25.0,38.0,18.0,35.0
Ice & Snow,20.0,17.0,17.0,19.0,14.0,3.0,1.0
Leafing,111.0,101.0,97.0,77.0,57.0,49.0,99.0
Lewisham Homes,129.0,152.0,113.0,127.0,96.0,51.0,73.0
Lit Signs,,,,,,,1.0
Litter/Litter Bin,976.0,883.0,721.0,674.0,630.0,722.0,720.0
Manhole Covers,748.0,744.0,730.0,729.0,616.0,307.0,296.0
Manhole Defects,24.0,29.0,45.0,29.0,31.0,16.0,23.0
Missed Bin Collection,385.0,454.0,487.0,531.0,382.0,125.0,82.0
Noise,15.0,10.0,15.0,11.0,14.0,18.0,20.0
Obstruction,1159.0,1153.0,1177.0,1076.0,963.0,572.0,644.0
Open Spaces/Parks,4205.0,4168.0,3885.0,3596.0,3249.0,3104.0,3713.0
Other,17811.0,17573.0,17303.0,16872.0,15373.0,10844.0,12180.0
Overgrown Vegetation,2970.0,2999.0,2709.0,2720.0,2455.0,1151.0,1273.0
Parking,7820.0,8159.0,8093.0,7932.0,7360.0,5815.0,6027.0
Pavement /Footway Defects,17570.0,17969.0,17294.0,16766.0,15089.0,11405.0,12740.0
Pest Control,12.0,2.0,4.0,4.0,3.0,2.0,4.0
Phoenix HA,16.0,19.0,10.0,13.0,10.0,5.0,9.0
Potholes,54951.0,55341.0,53712.0,51787.0,45337.0,34536.0,38944.0
Property Damage,18.0,22.0,17.0,20.0,22.0,13.0,23.0
Protected Trees,,1.0,,1.0,,1.0,
Public Toilets,155.0,145.0,125.0,145.0,139.0,127.0,130.0
Recycling,170.0,160.0,140.0,130.0,105.0,123.0,124.0
Retaining Wall,9.0,10.0,11.0,10.0,6.0,6.0,5.0
Right of Way,1008.0,839.0,565.0,645.0,649.0,918.0,922.0
