SHEF_B,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abandoned Vehicles,637.0,901.0,1077.0,980.0,1413.0,1414.0,957.0,1356.0,2495.0,5297.0,6421.0,6482.0,7201.0,7819.0
Bin Replacement,,,,,,,6.0,6.0,19.0,87.0,87.0,122.0,227.0,395.0
Bridge/Culvert Defects,,,,,,,4.0,8.0,31.0,37.0,48.0,126.0,390.0,706.0
Bus Stops Damage,45.0,158.0,187.0,170.0,177.0,184.0,194.0,257.0,490.0,588.0,677.0,676.0,975.0,877.0
Dangerous Building/Structure,,,,,62.0,125.0,164.0,195.0,42.0,,,,,115.0
Dog Fouling,585.0,1358.0,1473.0,1509.0,1560.0,2067.0,1607.0,1566.0,1859.0,2112.0,2386.0,2852.0,2647.0,2772.0
Drainage,,1.0,19.0,45.0,150.0,414.0,614.0,1165.0,1050.0,1387.0,1393.0,2916.0,8185.0,12081.0
Environmental Health,,,2.0,,18.0,37.0,49.0,78.0,58.0,91.0,111.0,157.0,263.0,611.0
Fences,,,,,,,2.0,3.0,30.0,47.0,51.0,5.0,29.0,69.0
Floral Displays,,,,,,,2.0,8.0,2.0,8.0,19.0,10.0,,
Gritting,,,,,5.0,12.0,19.0,7.0,7.0,16.0,30.0,82.0,138.0,117.0
Grounds Maintenance,,,2.0,,,12.0,20.0,31.0,45.0,61.0,82.0,203.0,522.0,1703.0
Highways Enquiries,697.0,2337.0,4655.0,5736.0,6501.0,8541.0,10325.0,12436.0,13135.0,14587.0,13701.0,16019.0,15267.0,16707.0
Incivilities,675.0,1486.0,1841.0,1852.0,1965.0,2280.0,1744.0,2319.0,3430.0,4133.0,4269.0,4949.0,6434.0,7480.0
Open Spaces/Parks,211.0,359.0,628.0,701.0,687.0,908.0,883.0,1562.0,1935.0,2743.0,2794.0,3141.0,4421.0,4956.0
Other,2256.0,2491.0,5079.0,5892.0,4828.0,3823.0,3824.0,5088.0,7161.0,10246.0,9578.0,11283.0,21282.0,18447.0
Overgrown/Fallen Veg/Trees,203.0,459.0,973.0,1005.0,1095.0,1270.0,1622.0,2557.0,2997.0,3929.0,4708.0,5719.0,10079.0,16976.0
Parking,248.0,650.0,1868.0,1701.0,1771.0,1643.0,1707.0,2695.0,4071.0,5574.0,6607.0,6832.0,7100.0,8739.0
Pavement /Footway Defects,757.0,1844.0,3311.0,3804.0,3625.0,4531.0,4745.0,7675.0,8751.0,10423.0,10888.0,11657.0,12971.0,15378.0
Property Damage,,,,,,,4.0,14.0,24.0,37.0,25.0,16.0,12.0,3.0
Public Toilets,10.0,17.0,45.0,50.0,34.0,75.0,83.0,87.0,88.0,69.0,88.0,90.0,120.0,110.0
Retaining Wall,,,,,,,,,,2.0,2.0,18.0,11.0,24.0
Right of Way,,,12.0,28.0,63.0,206.0,247.0,547.0,899.0,1389.0,1829.0,2691.0,4831.0,6464.0
Road Safety,289.0,954.0,1699.0,2029.0,2428.0,2840.0,2991.0,4398.0,4865.0,5640.0,6341.0,7146.0,10354.0,11720.0
Road Surface Defects,772.0,3155.0,7751.0,17130.0,19289.0,17914.0,29564.0,28273.0,21411.0,26361.0,26795.0,54198.0,48055.0,74251.0
Rubbish,1621.0,3373.0,5581.0,6720.0,7756.0,9332.0,10848.0,16833.0,27663.0,42990.0,44277.0,50734.0,67673.0,88741.0
Street Furniture,140.0,312.0,492.0,558.0,573.0,682.0,625.0,926.0,821.0,839.0,914.0,2147.0,5852.0,8839.0
Street Lights,792.0,2629.0,4330.0,5658.0,7366.0,8400.0,9074.0,11176.0,11185.0,11910.0,12364.0,14532.0,20689.0,23627.0
Utility Works,,,3.0,,1.0,,20.0,38.0,47.0,59.0,94.0,71.0,196.0,719.0
