SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,298.0,201.0,176.0,148.0,131.0,122.0,94.0,94.0,77.0,52.0
Bus Stops Damage,122.0,87.0,65.0,45.0,50.0,49.0,42.0,39.0,17.0,21.0
Dog Fouling,769.0,318.0,192.0,167.0,151.0,153.0,209.0,142.0,179.0,139.0
Open Spaces/Parks,147.0,143.0,110.0,134.0,126.0,110.0,95.0,123.0,94.0,53.0
Other,715.0,542.0,505.0,387.0,477.0,396.0,342.0,380.0,323.0,267.0
Parking,392.0,279.0,318.0,255.0,185.0,203.0,157.0,133.0,96.0,54.0
Pavement /Footway Defects,907.0,555.0,548.0,432.0,435.0,468.0,389.0,349.0,392.0,281.0
Public Toilets,16.0,2.0,7.0,9.0,7.0,3.0,5.0,2.0,2.0,2.0
Road Safety,795.0,379.0,286.0,279.0,256.0,294.0,240.0,181.0,228.0,119.0
Road Surface Defects,3341.0,2560.0,2069.0,2070.0,1981.0,3035.0,2518.0,3099.0,2831.0,1976.0
Rubbish,2041.0,1841.0,1902.0,1149.0,940.0,841.0,569.0,531.0,479.0,206.0
Street Furniture,39.0,21.0,18.0,21.0,26.0,33.0,26.0,27.0,25.0,18.0
Street Lights,1366.0,942.0,794.0,860.0,793.0,895.0,721.0,870.0,683.0,635.0
