SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,5689.0,6712.0,5102.0,4491.0,3868.0,3929.0,3910.0,3973.0,3943.0,2828.0
Bin Replacement,216.0,198.0,92.0,78.0,50.0,49.0,42.0,77.0,119.0,28.0
Bridge/Culvert Defects,10.0,52.0,39.0,55.0,53.0,59.0,92.0,117.0,236.0,637.0
Bus Stops Damage,472.0,585.0,576.0,623.0,588.0,648.0,786.0,636.0,494.0,247.0
Dangerous Building/Structure,255.0,124.0,68.0,46.0,43.0,33.0,47.0,31.0,24.0,32.0
Dog Fouling,2315.0,2985.0,2944.0,2664.0,2883.0,2827.0,2961.0,2895.0,2293.0,1507.0
Drainage,1570.0,1732.0,1698.0,1894.0,1796.0,2231.0,2449.0,2633.0,4675.0,8737.0
Environmental Health,125.0,181.0,119.0,134.0,119.0,104.0,110.0,97.0,250.0,236.0
Fences,1.0,17.0,13.0,23.0,26.0,15.0,22.0,34.0,46.0,39.0
Floral Displays,5.0,3.0,11.0,4.0,9.0,4.0,6.0,4.0,3.0,
Gritting,15.0,25.0,30.0,31.0,20.0,29.0,30.0,31.0,56.0,166.0
Grounds Maintenance,66.0,137.0,169.0,204.0,184.0,217.0,233.0,280.0,624.0,567.0
Highways Enquiries,8597.0,10795.0,11640.0,10791.0,12628.0,12871.0,13413.0,15643.0,18962.0,25280.0
Incivilities,8491.0,8387.0,5519.0,3989.0,4254.0,4205.0,3506.0,3144.0,2119.0,1233.0
Open Spaces/Parks,1819.0,2923.0,2528.0,3061.0,2919.0,3226.0,3246.0,2913.0,2206.0,1083.0
Other,10531.0,11055.0,9995.0,10298.0,10560.0,10756.0,10563.0,11307.0,12237.0,13953.0
Overgrown/Fallen Veg/Trees,2640.0,4295.0,4224.0,5044.0,4939.0,5047.0,5328.0,5850.0,8016.0,8206.0
Parking,5122.0,6370.0,5684.0,5540.0,5758.0,5595.0,5531.0,5625.0,3930.0,2047.0
Pavement /Footway Defects,9309.0,9647.0,9591.0,10115.0,10603.0,10818.0,11049.0,11425.0,10005.0,7783.0
Property Damage,,15.0,12.0,14.0,13.0,12.0,22.0,15.0,14.0,18.0
Public Toilets,88.0,75.0,72.0,64.0,108.0,102.0,104.0,113.0,117.0,122.0
Retaining Wall,15.0,12.0,4.0,5.0,2.0,4.0,7.0,4.0,,4.0
Right of Way,749.0,1377.0,1148.0,1310.0,1260.0,1280.0,1606.0,1669.0,2586.0,6221.0
Road Safety,4753.0,5001.0,4858.0,4801.0,5527.0,5959.0,6556.0,7141.0,8703.0,10379.0
Road Surface Defects,15077.0,19782.0,21749.0,25846.0,27871.0,30353.0,33924.0,38851.0,59099.0,102302.0
Rubbish,86123.0,75594.0,38722.0,29144.0,23178.0,23122.0,22025.0,23072.0,28055.0,35064.0
Street Furniture,2236.0,3748.0,2821.0,2659.0,2487.0,2572.0,1770.0,2026.0,1965.0,1434.0
Street Lights,6973.0,11997.0,13693.0,14712.0,16655.0,16664.0,17850.0,17418.0,16844.0,10904.0
Utility Works,58.0,125.0,95.0,138.0,80.0,133.0,104.0,103.0,242.0,170.0
