year,1,2,3,4,5,6,7,8,9,10
2007,135,76,93,60,67,74,58,81,72,61
2008,551,467,467,349,424,380,364,384,329,294
2009,622,461,411,437,409,464,377,416,333,233
2010,838,555,559,537,538,523,541,520,482,453
2011,1327,882,871,701,799,762,762,732,631,561
2012,1155,747,753,595,625,698,614,524,452,393
2013,1016,707,773,596,639,647,585,548,535,464
2014,1021,714,744,576,533,658,576,503,411,405
2015,1005,870,722,673,641,711,592,602,465,410
2016,1187,935,853,825,771,864,774,795,661,573
2017,1463,1027,877,802,699,870,664,755,618,467
2018,2180,1283,1166,1145,990,1290,964,1193,1232,693
2019,1821,1146,997,810,852,905,756,971,942,559
2020,1757,1582,1296,973,925,1205,941,1172,990,660
