SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,65.0,83.0,135.0,98.0,87.0,66.0,59.0,56.0,54.0,52.0
Bus Stops Damage,22.0,20.0,37.0,24.0,30.0,21.0,25.0,26.0,21.0,33.0
Dog Fouling,87.0,139.0,177.0,247.0,145.0,134.0,141.0,84.0,98.0,68.0
Open Spaces/Parks,80.0,117.0,120.0,87.0,94.0,102.0,64.0,123.0,115.0,139.0
Other,297.0,323.0,426.0,310.0,273.0,352.0,287.0,305.0,317.0,309.0
Parking,236.0,254.0,207.0,229.0,201.0,238.0,200.0,168.0,178.0,200.0
Pavement /Footway Defects,245.0,318.0,469.0,312.0,353.0,378.0,320.0,358.0,363.0,523.0
Public Toilets,3.0,2.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,9.0
Road Safety,74.0,101.0,120.0,98.0,108.0,120.0,139.0,180.0,157.0,206.0
Road Surface Defects,452.0,610.0,692.0,643.0,656.0,855.0,854.0,1181.0,1512.0,1528.0
Rubbish,1827.0,1578.0,1508.0,1224.0,1166.0,855.0,1042.0,835.0,825.0,825.0
Street Furniture,22.0,27.0,27.0,11.0,8.0,11.0,19.0,27.0,21.0,26.0
Street Lights,330.0,453.0,772.0,563.0,425.0,579.0,475.0,519.0,523.0,801.0
