SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,95.0,135.0,109.0,83.0,110.0,73.0,65.0,88.0,74.0,69.0
Bus Stops Damage,26.0,29.0,29.0,29.0,19.0,26.0,34.0,34.0,18.0,36.0
Dog Fouling,169.0,361.0,158.0,132.0,112.0,132.0,141.0,187.0,142.0,122.0
Highways Enquiries,629.0,603.0,472.0,472.0,412.0,558.0,532.0,607.0,709.0,647.0
Incivilities,174.0,78.0,69.0,86.0,71.0,64.0,100.0,114.0,89.0,114.0
Open Spaces/Parks,100.0,171.0,82.0,94.0,79.0,82.0,133.0,99.0,133.0,181.0
Other,531.0,479.0,372.0,353.0,348.0,351.0,367.0,349.0,354.0,400.0
Overgrown/Fallen Veg/Trees,104.0,130.0,116.0,122.0,115.0,143.0,135.0,152.0,155.0,207.0
Parking,369.0,260.0,225.0,240.0,183.0,222.0,176.0,241.0,211.0,255.0
Pavement /Footway Defects,447.0,369.0,302.0,327.0,336.0,356.0,384.0,430.0,514.0,573.0
Public Toilets,5.0,8.0,3.0,5.0,5.0,3.0,2.0,6.0,4.0,8.0
Road Safety,200.0,154.0,114.0,109.0,113.0,105.0,170.0,151.0,170.0,194.0
Road Surface Defects,948.0,1121.0,893.0,873.0,891.0,964.0,1031.0,1220.0,1325.0,1207.0
Rubbish,3558.0,1387.0,859.0,1152.0,977.0,785.0,956.0,1003.0,847.0,974.0
Street Furniture,23.0,16.0,23.0,20.0,25.0,22.0,29.0,33.0,39.0,34.0
Street Lights,431.0,553.0,442.0,523.0,548.0,593.0,554.0,759.0,791.0,954.0
