SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2855.0,4034.0,4540.0,5076.0,4740.0,4414.0,4103.0,3852.0,4163.0,3895.0
Bin Replacement,45.0,96.0,179.0,194.0,117.0,118.0,83.0,29.0,47.0,41.0
Bridge/Culvert Defects,40.0,68.0,110.0,108.0,108.0,222.0,151.0,205.0,189.0,149.0
Bus Stops Damage,435.0,449.0,516.0,558.0,601.0,407.0,455.0,399.0,433.0,457.0
Dangerous Building/Structure,11.0,57.0,82.0,91.0,91.0,84.0,68.0,72.0,53.0,94.0
Dog Fouling,2154.0,2398.0,2375.0,2512.0,2390.0,2505.0,2082.0,1795.0,1670.0,1348.0
Drainage,980.0,1501.0,2263.0,2481.0,2533.0,3145.0,3261.0,4151.0,4238.0,4840.0
Environmental Health,43.0,129.0,138.0,222.0,210.0,187.0,168.0,124.0,120.0,134.0
Fences,7.0,28.0,23.0,44.0,20.0,31.0,18.0,19.0,23.0,23.0
Floral Displays,,2.0,4.0,7.0,7.0,4.0,2.0,7.0,7.0,9.0
Gritting,19.0,28.0,55.0,37.0,69.0,44.0,34.0,49.0,35.0,63.0
Grounds Maintenance,181.0,244.0,262.0,324.0,237.0,390.0,266.0,312.0,248.0,217.0
Highways Enquiries,8191.0,8792.0,10549.0,10838.0,11450.0,12891.0,13441.0,13840.0,15641.0,17657.0
Incivilities,2792.0,3464.0,4931.0,5286.0,5464.0,3830.0,4393.0,3590.0,3860.0,4911.0
Open Spaces/Parks,2053.0,2662.0,2756.0,2554.0,2696.0,2170.0,2144.0,1869.0,2097.0,2254.0
Other,9003.0,9426.0,10054.0,9721.0,9713.0,10280.0,10286.0,10126.0,10712.0,11313.0
Overgrown/Fallen Veg/Trees,2264.0,3304.0,4145.0,4715.0,4958.0,5437.0,5476.0,6243.0,6945.0,7489.0
Parking,3976.0,4627.0,5091.0,5289.0,4950.0,4987.0,4733.0,4431.0,4084.0,4058.0
Pavement /Footway Defects,6151.0,7536.0,7544.0,8279.0,9015.0,8752.0,8970.0,10272.0,10326.0,12967.0
Property Damage,4.0,7.0,6.0,14.0,18.0,14.0,10.0,20.0,18.0,24.0
Public Toilets,70.0,71.0,91.0,106.0,84.0,85.0,89.0,81.0,70.0,105.0
Retaining Wall,7.0,3.0,11.0,5.0,3.0,2.0,6.0,5.0,6.0,9.0
Right of Way,548.0,853.0,1195.0,2006.0,2593.0,2264.0,2257.0,2192.0,2586.0,2712.0
Road Safety,3452.0,4116.0,4651.0,5466.0,5481.0,6035.0,6190.0,6530.0,7154.0,8979.0
Road Surface Defects,14152.0,17389.0,21469.0,25860.0,29116.0,33481.0,36627.0,44127.0,50593.0,58451.0
Rubbish,34987.0,39614.0,47320.0,47178.0,38816.0,37790.0,33983.0,26640.0,26134.0,26112.0
Street Furniture,693.0,1914.0,1828.0,2248.0,3503.0,2105.0,2149.0,3049.0,2720.0,2831.0
Street Lights,9771.0,10050.0,10892.0,11634.0,12570.0,13121.0,12432.0,14475.0,13464.0,16858.0
Utility Works,44.0,173.0,131.0,189.0,84.0,178.0,101.0,99.0,126.0,123.0
