SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2663.0,3236.0,3769.0,3911.0,3724.0,3988.0,4008.0,3828.0,3854.0,3164.0
Bridge/Culvert Defects,28.0,32.0,49.0,81.0,69.0,93.0,80.0,105.0,130.0,85.0
Bus Stops Damage,345.0,405.0,391.0,429.0,490.0,410.0,405.0,370.0,392.0,406.0
Dangerous Building/Structure,2.0,8.0,36.0,40.0,58.0,44.0,71.0,79.0,73.0,114.0
Dog Fouling,1272.0,1641.0,1568.0,1660.0,1833.0,1544.0,1592.0,1589.0,1404.0,1142.0
Environmental Health,21.0,63.0,80.0,74.0,117.0,91.0,98.0,126.0,136.0,89.0
Fences,13.0,17.0,30.0,18.0,28.0,18.0,13.0,21.0,12.0,12.0
Gritting,16.0,11.0,11.0,21.0,20.0,18.0,35.0,48.0,38.0,37.0
Grounds Maintenance,112.0,90.0,133.0,103.0,67.0,74.0,176.0,100.0,198.0,159.0
Open Spaces/Parks,1676.0,1973.0,1992.0,2235.0,2326.0,2597.0,2083.0,2034.0,2211.0,1679.0
Other,6380.0,6697.0,7101.0,7317.0,7277.0,6820.0,7567.0,7665.0,7617.0,7299.0
Parking,3583.0,4387.0,4576.0,4327.0,4339.0,4145.0,3974.0,3937.0,3541.0,3367.0
Pavement /Footway Defects,5183.0,6311.0,6569.0,7219.0,7403.0,7232.0,8230.0,8968.0,9489.0,10484.0
Property Damage,2.0,13.0,14.0,15.0,17.0,18.0,12.0,16.0,14.0,14.0
Public Toilets,44.0,52.0,43.0,50.0,92.0,84.0,83.0,74.0,89.0,91.0
Retaining Wall,2.0,10.0,3.0,10.0,6.0,2.0,1.0,8.0,6.0,9.0
Right of Way,523.0,698.0,1469.0,1604.0,2042.0,1644.0,1630.0,1793.0,2239.0,1733.0
Road Safety,2527.0,3611.0,3718.0,4246.0,4275.0,4787.0,5335.0,5865.0,6643.0,6500.0
Road Surface Defects,11493.0,14553.0,16916.0,19976.0,22421.0,26029.0,31569.0,37776.0,42164.0,40390.0
Rubbish,29556.0,29343.0,30668.0,32412.0,31842.0,37967.0,41438.0,37094.0,32117.0,23849.0
Street Furniture,546.0,1206.0,1455.0,1480.0,1928.0,1558.0,1685.0,3397.0,2838.0,2694.0
Street Lights,8528.0,8648.0,8548.0,9347.0,9930.0,10384.0,10110.0,10288.0,11456.0,11637.0
Utility Works,24.0,35.0,47.0,78.0,65.0,60.0,54.0,94.0,78.0,79.0
