SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,5689.0,6712.0,5102.0,4491.0,3868.0,3929.0,3910.0,3973.0,3943.0,2828.0
Accumulated Litter,506.0,686.0,383.0,390.0,157.0,253.0,90.0,87.0,98.0,68.0
Admin,472.0,600.0,151.0,112.0,8.0,20.0,17.0,,,
Barriers/Bollards on RoW,70.0,62.0,48.0,26.0,16.0,25.0,45.0,31.0,15.0,19.0
Benches/Bicycle Racks,,5.0,34.0,9.0,4.0,2.0,7.0,7.0,2.0,19.0
Bin Collection,284.0,117.0,50.0,40.0,13.0,25.0,24.0,10.0,21.0,27.0
Bin Repair/Replacement,213.0,187.0,78.0,52.0,30.0,29.0,23.0,26.0,73.0,12.0
Blocked Drains,1030.0,1094.0,1017.0,1126.0,942.0,1161.0,1262.0,1350.0,2624.0,4493.0
Bridge/Culvert Defects,10.0,52.0,39.0,55.0,53.0,59.0,92.0,117.0,236.0,637.0
Broken Fire Hydrant,,,,,,,1.0,,,1.0
Broken Kerbs,7.0,15.0,42.0,40.0,100.0,99.0,129.0,113.0,161.0,197.0
Bus Stops Damage,472.0,585.0,576.0,623.0,588.0,648.0,786.0,636.0,494.0,247.0
C.C.T.V Faults,,1.0,,,,2.0,,,,
Countryside RoW,,,,,,4.0,,6.0,10.0,14.0
Dangerous Building/Structure,254.0,121.0,63.0,41.0,37.0,18.0,24.0,17.0,11.0,2.0
Dead Animals,122.0,177.0,106.0,118.0,112.0,95.0,97.0,88.0,246.0,228.0
Debris/Spillage,58.0,119.0,95.0,94.0,70.0,93.0,87.0,90.0,236.0,388.0
Demo,16.0,6.0,10.0,10.0,,,1.0,,,
Discarded Syringes,,1.0,2.0,1.0,2.0,1.0,,,,
Dog Fouling,2315.0,2985.0,2944.0,2664.0,2883.0,2827.0,2961.0,2895.0,2293.0,1507.0
Dog Litter Bin,3.0,11.0,14.0,26.0,20.0,20.0,19.0,51.0,46.0,16.0
Dumped Rubbish,3828.0,3174.0,1291.0,1045.0,593.0,805.0,416.0,387.0,693.0,7.0
Environmental Health,1.0,1.0,3.0,14.0,6.0,7.0,6.0,6.0,4.0,7.0
Fallen/Dangerous Trees,2129.0,2773.0,2684.0,2963.0,3182.0,3038.0,3327.0,3544.0,4420.0,4313.0
Fences,1.0,17.0,13.0,23.0,26.0,15.0,22.0,34.0,46.0,39.0
Flooding,68.0,122.0,138.0,185.0,265.0,245.0,381.0,451.0,748.0,2178.0
Floral displays,5.0,3.0,11.0,4.0,9.0,4.0,6.0,4.0,3.0,
Fly-tipping,59028.0,51255.0,24737.0,17072.0,12492.0,12350.0,12482.0,13355.0,19270.0,27663.0
Flyposting,849.0,834.0,626.0,470.0,431.0,479.0,581.0,700.0,764.0,665.0
Garden Waste,1180.0,1485.0,343.0,234.0,38.0,30.0,21.0,1.0,,
Gates/Stiles RoW,,,,,1.0,,2.0,9.0,9.0,74.0
General Highways Enquiries,448.0,703.0,500.0,371.0,182.0,221.0,162.0,258.0,188.0,94.0
Graffiti,7277.0,7338.0,4744.0,3459.0,3806.0,3715.0,2914.0,2450.0,1354.0,568.0
Grass/Weed Control,64.0,350.0,434.0,711.0,509.0,506.0,540.0,662.0,1311.0,1419.0
Grids and Drains,6.0,18.0,34.0,17.0,13.0,49.0,28.0,26.0,1.0,
Grit Bins,2.0,5.0,,7.0,7.0,12.0,15.0,16.0,29.0,128.0
Gritting,13.0,12.0,25.0,14.0,6.0,10.0,6.0,8.0,1.0,1.0
Grounds Maintenance,,,1.0,3.0,4.0,1.0,2.0,4.0,6.0,13.0
Gullies,183.0,162.0,139.0,149.0,202.0,313.0,291.0,266.0,364.0,744.0
Gully/Manhole Defects,115.0,47.0,61.0,64.0,65.0,84.0,79.0,91.0,150.0,196.0
Highway Condition,8149.0,10125.0,11179.0,10474.0,12492.0,12708.0,13308.0,15431.0,18794.0,25223.0
Highway Drainage,,5.0,5.0,8.0,18.0,7.0,13.0,19.0,40.0,96.0
Ice & Snow,,8.0,5.0,7.0,7.0,7.0,7.0,5.0,16.0,29.0
Leafing,74.0,170.0,102.0,69.0,36.0,62.0,37.0,29.0,12.0,
Lewisham Homes,387.0,221.0,75.0,41.0,2.0,5.0,10.0,,,
Lit Signs,,,,,,,,,,1.0
Litter/Litter Bin,803.0,956.0,515.0,460.0,427.0,460.0,324.0,701.0,440.0,240.0
Manhole Covers,147.0,235.0,293.0,322.0,288.0,362.0,374.0,410.0,734.0,1005.0
Manhole Defects,21.0,49.0,11.0,23.0,3.0,10.0,21.0,20.0,14.0,25.0
Missed Bin Collection,997.0,906.0,353.0,121.0,14.0,12.0,36.0,7.0,,
Noise,21.0,29.0,14.0,17.0,7.0,5.0,6.0,3.0,1.0,
Obstruction,412.0,705.0,439.0,486.0,406.0,513.0,684.0,510.0,788.0,1801.0
