SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,74.0,123.0,115.0,128.0,74.0,78.0,73.0,78.0,99.0,59.0
Bus Stops Damage,15.0,37.0,32.0,42.0,17.0,31.0,32.0,24.0,27.0,23.0
Dog Fouling,130.0,145.0,186.0,186.0,322.0,169.0,156.0,114.0,144.0,105.0
Highways Enquiries,250.0,358.0,436.0,520.0,400.0,590.0,663.0,684.0,808.0,928.0
Incivilities,67.0,109.0,92.0,100.0,71.0,78.0,118.0,84.0,103.0,137.0
Open Spaces/Parks,82.0,103.0,150.0,123.0,95.0,78.0,133.0,101.0,113.0,173.0
Other,313.0,393.0,473.0,389.0,346.0,391.0,429.0,314.0,405.0,449.0
Overgrown/Fallen Veg/Trees,46.0,124.0,104.0,135.0,126.0,126.0,147.0,139.0,194.0,239.0
Parking,149.0,280.0,299.0,280.0,289.0,194.0,217.0,187.0,240.0,244.0
Pavement /Footway Defects,257.0,332.0,418.0,431.0,387.0,359.0,446.0,347.0,489.0,569.0
Public Toilets,2.0,3.0,3.0,3.0,3.0,8.0,9.0,2.0,5.0,11.0
Road Safety,89.0,101.0,136.0,125.0,123.0,124.0,191.0,129.0,239.0,222.0
Road Surface Defects,471.0,611.0,850.0,828.0,940.0,849.0,1019.0,1378.0,1496.0,2025.0
Rubbish,1636.0,1924.0,1470.0,1236.0,1247.0,969.0,989.0,873.0,1092.0,1061.0
Street Furniture,22.0,26.0,32.0,28.0,18.0,28.0,25.0,22.0,19.0,44.0
Street Lights,362.0,525.0,571.0,636.0,518.0,596.0,762.0,539.0,810.0,826.0
