SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2522.0,3326.0,3668.0,3877.0,3600.0,3949.0,3589.0,3776.0,3998.0,3840.0
Bridge/Culvert Defects,22.0,31.0,36.0,44.0,45.0,93.0,85.0,168.0,128.0,100.0
Bus Stops Damage,327.0,407.0,405.0,380.0,516.0,384.0,393.0,333.0,390.0,508.0
Dangerous Building/Structure,7.0,33.0,25.0,54.0,37.0,46.0,43.0,43.0,79.0,158.0
Dog Fouling,1086.0,1586.0,1526.0,1569.0,1742.0,1727.0,1581.0,1685.0,1494.0,1249.0
Environmental Health,19.0,84.0,102.0,81.0,96.0,81.0,83.0,160.0,82.0,107.0
Fences,6.0,16.0,16.0,28.0,26.0,17.0,22.0,21.0,15.0,15.0
Gritting,14.0,11.0,12.0,18.0,13.0,29.0,27.0,34.0,56.0,41.0
Grounds Maintenance,128.0,97.0,104.0,91.0,77.0,90.0,99.0,174.0,178.0,174.0
Open Spaces/Parks,1499.0,2025.0,2372.0,2046.0,2273.0,2571.0,1908.0,2117.0,2255.0,1740.0
Other,5814.0,6470.0,7055.0,6790.0,6913.0,7464.0,7060.0,7728.0,7719.0,8727.0
Parking,3539.0,4105.0,4190.0,4317.0,4297.0,4171.0,4083.0,3808.0,3722.0,3944.0
Pavement /Footway Defects,4895.0,5609.0,6206.0,7369.0,6637.0,7686.0,8076.0,8753.0,9635.0,12222.0
Property Damage,1.0,5.0,12.0,15.0,17.0,14.0,16.0,16.0,17.0,22.0
Public Toilets,28.0,51.0,52.0,66.0,57.0,60.0,95.0,91.0,78.0,124.0
Retaining Wall,2.0,3.0,10.0,2.0,5.0,1.0,2.0,9.0,5.0,18.0
Right of Way,310.0,751.0,1265.0,1913.0,2173.0,1555.0,1537.0,2165.0,1975.0,1731.0
Road Safety,2372.0,3018.0,3446.0,3987.0,3986.0,4580.0,5019.0,5977.0,7013.0,8109.0
Road Surface Defects,10606.0,13650.0,16286.0,18285.0,22274.0,27049.0,32555.0,40149.0,44051.0,38382.0
Rubbish,30014.0,28874.0,31987.0,28420.0,30653.0,38868.0,28860.0,35753.0,37112.0,35745.0
Street Furniture,457.0,1460.0,1528.0,1325.0,1848.0,1650.0,2274.0,2430.0,3165.0,2650.0
Street Lights,7352.0,7971.0,8482.0,9286.0,8929.0,9864.0,11301.0,11405.0,11626.0,12660.0
Utility Works,14.0,26.0,42.0,46.0,60.0,47.0,53.0,105.0,100.0,121.0
