SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,132.0,186.0,225.0,158.0,138.0,127.0,104.0,96.0,109.0,118.0
Bus Stops Damage,49.0,63.0,55.0,62.0,36.0,41.0,39.0,55.0,68.0,69.0
Dog Fouling,359.0,302.0,204.0,467.0,176.0,165.0,222.0,143.0,231.0,150.0
Fallen/Dangerous Trees,59.0,63.0,59.0,82.0,90.0,97.0,118.0,106.0,89.0,116.0
Fly-tipping,429.0,626.0,502.0,780.0,461.0,520.0,629.0,403.0,390.0,261.0
Flyposting,5.0,12.0,9.0,3.0,7.0,12.0,18.0,7.0,11.0,8.0
Graffiti,55.0,71.0,52.0,69.0,87.0,63.0,110.0,44.0,92.0,130.0
Highway Condition,535.0,540.0,513.0,758.0,789.0,938.0,1208.0,1089.0,946.0,1131.0
Open Spaces/Parks,108.0,96.0,110.0,159.0,131.0,92.0,102.0,117.0,100.0,119.0
Other,411.0,387.0,444.0,441.0,425.0,468.0,488.0,431.0,399.0,440.0
Parking,218.0,272.0,236.0,240.0,201.0,180.0,183.0,218.0,146.0,178.0
Pavement /Footway Defects,355.0,426.0,369.0,454.0,464.0,458.0,561.0,523.0,513.0,630.0
Potholes,1798.0,1647.0,1622.0,1906.0,2490.0,3259.0,3689.0,3404.0,2815.0,2850.0
Public Toilets,5.0,2.0,3.0,8.0,7.0,13.0,2.0,6.0,4.0,5.0
Rubbish,281.0,389.0,330.0,452.0,343.0,289.0,726.0,294.0,383.0,405.0
Street Cleaning,147.0,168.0,176.0,187.0,125.0,148.0,164.0,161.0,153.0,175.0
Street Lights,712.0,723.0,686.0,758.0,980.0,783.0,808.0,970.0,938.0,1194.0
Street Name Plates,19.0,15.0,20.0,32.0,27.0,28.0,27.0,37.0,21.0,28.0
Street Signs,101.0,93.0,107.0,166.0,169.0,220.0,252.0,236.0,206.0,233.0
Traffic Lights,122.0,99.0,109.0,126.0,122.0,152.0,165.0,133.0,100.0,145.0
