year,1,2,3,4,5,6,7,8,9,10
2007,21.0,25.0,27.0,22.0,27.0,20.0,20.0,21.0,28.0,31.0
2008,34.0,47.0,72.0,69.0,56.0,61.0,76.0,43.0,67.0,74.0
2009,105.0,84.0,113.0,131.0,110.0,184.0,109.0,119.0,148.0,147.0
2010,145.0,95.0,155.0,174.0,147.0,195.0,151.0,180.0,212.0,308.0
2011,134.0,178.0,180.0,181.0,153.0,220.0,176.0,199.0,248.0,313.0
2012,165.0,155.0,158.0,311.0,184.0,255.0,213.0,245.0,240.0,358.0
2013,176.0,143.0,162.0,181.0,201.0,271.0,209.0,233.0,213.0,297.0
2014,340.0,254.0,338.0,310.0,379.0,411.0,321.0,375.0,385.0,599.0
2015,315.0,233.0,348.0,342.0,372.0,383.0,323.0,398.0,405.0,589.0
2016,396.0,327.0,481.0,515.0,479.0,471.0,452.0,581.0,592.0,657.0
2017,446.0,406.0,527.0,521.0,539.0,517.0,472.0,628.0,593.0,686.0
2018,445.0,736.0,925.0,652.0,676.0,826.0,626.0,898.0,999.0,870.0
2019,781.0,901.0,770.0,733.0,815.0,849.0,695.0,905.0,942.0,864.0
2020,856.0,1107.0,912.0,859.0,801.0,1041.0,768.0,915.0,1136.0,936.0
