SHEF_A,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,18417.0,822.0,17981.0,88.0,2777.0,75.0,2315.0,99.0
Accumulated Litter,1889.0,,732.0,,18.0,,79.0,
Admin,1380.0,,,,,,,
Barriers/Bollards on RoW,156.0,,168.0,1.0,9.0,,20.0,3.0
Benches/Bicycle Racks,,,64.0,,13.0,,12.0,
Bin Collection,506.0,,64.0,,16.0,,25.0,
Bin Repair/Replacement,473.0,,201.0,,33.0,,16.0,
Blocked Drains,3748.0,,5825.0,90.0,2465.0,54.0,3694.0,201.0
Bridge/Culvert Defects,15.0,,541.0,10.0,236.0,1.0,510.0,37.0
Broken Fire Hydrant,,,1.0,,,,1.0,
Broken Kerbs,39.0,,537.0,2.0,156.0,4.0,159.0,6.0
Bus Stops Damage,1767.0,271.0,2459.0,12.0,287.0,6.0,182.0,6.0
C.C.T.V Faults,,,3.0,,,,,
Countryside RoW,,,19.0,,7.0,,8.0,
Dangerous Building/Structure,583.0,,2.0,,1.0,,2.0,
Dead Animals,663.0,,396.0,,111.0,,219.0,
Debris/Spillage,242.0,,534.0,20.0,193.0,1.0,329.0,11.0
Demo,43.0,,,,,,,
Discarded Syringes,,,7.0,,,,,
Dog Fouling,6978.0,1097.0,11408.0,155.0,2055.0,141.0,949.0,103.0
Dog Litter Bin,46.0,,135.0,,36.0,,8.0,1.0
Dumped Rubbish,11863.0,,238.0,,7.0,,131.0,
Environmental Health,,,45.0,,6.0,,4.0,
Fallen/Dangerous Trees,8355.0,1019.0,15074.0,53.0,3040.0,59.0,3385.0,155.0
Fences,16.0,,153.0,1.0,29.0,,36.0,1.0
Flooding,222.0,,1801.0,19.0,837.0,14.0,1755.0,133.0
Floral displays,46.0,,3.0,,,,,
Fly-tipping,139305.0,9794.0,61071.0,128.0,11318.0,155.0,21578.0,413.0
Flyposting,2643.0,177.0,2467.0,8.0,434.0,7.0,507.0,12.0
Garden Waste,3332.0,,,,,,,
Gates/Stiles RoW,,,10.0,,29.0,,56.0,
General Highways Enquiries,2466.0,,516.0,,69.0,,76.0,
Graffiti,20943.0,1448.0,12673.0,32.0,855.0,15.0,426.0,10.0
Grass/Weed Control,762.0,,3435.0,2.0,965.0,,1342.0,
Grids and Drains,9.0,,182.0,,1.0,,,
Grit Bins,,,60.0,3.0,43.0,,98.0,17.0
Gritting,64.0,,31.0,,,,1.0,
Grounds Maintenance,,,22.0,,1.0,,11.0,
Gullies,243.0,,1642.0,,209.0,,719.0,
Gully/Manhole Defects,185.0,,459.0,,129.0,,179.0,
Highway Condition,37382.0,5022.0,51258.0,223.0,12509.0,483.0,17975.0,1344.0
Highway Drainage,,,81.0,,36.0,,94.0,
Ice & Snow,1.0,,52.0,2.0,8.0,,28.0,
Leafing,520.0,,68.0,,,,3.0,
Lewisham Homes,741.0,,,,,,,
Lit Signs,,,,,,,1.0,
Litter/Litter Bin,3092.0,2.0,1777.0,,191.0,,262.0,2.0
Manhole Covers,546.0,,1994.0,27.0,738.0,18.0,775.0,72.0
Manhole Defects,101.0,,42.0,6.0,24.0,1.0,13.0,10.0
Missed Bin Collection,2446.0,,,,,,,
Noise,,,103.0,,,,,
Obstruction,1935.0,,2479.0,44.0,743.0,26.0,1363.0,154.0
Open Spaces/Parks,10725.0,1059.0,10595.0,52.0,1165.0,47.0,710.0,47.0
Other,25792.0,3820.0,50426.0,220.0,9508.0,305.0,10578.0,567.0
Overgrown Vegetation,4920.0,67.0,6856.0,74.0,2051.0,29.0,2144.0,134.0
Parking,16228.0,2070.0,25137.0,116.0,3319.0,138.0,1493.0,107.0
Pavement /Footway Defects,32042.0,3730.0,50294.0,190.0,8991.0,281.0,6457.0,339.0
Pest Control,,,30.0,,,,1.0,
Phoenix HA,82.0,,,,,,,
Potholes,50446.0,7425.0,126765.0,555.0,40111.0,992.0,70364.0,4773.0
Property Damage,,,106.0,,10.0,,19.0,
Protected Trees,3.0,,,,,,,
Public Toilets,219.0,35.0,431.0,4.0,110.0,16.0,77.0,9.0
Recycling,,,951.0,,,,1.0,
Retaining Wall,,,50.0,,4.0,,3.0,
Right of Way,152.0,,1632.0,8.0,669.0,13.0,2873.0,199.0
Road Markings,119.0,2.0,2699.0,25.0,939.0,14.0,1359.0,107.0
Road Safety,,,103.0,3.0,57.0,,140.0,11.0
Road Surface Defects,9302.0,,7802.0,40.0,2051.0,20.0,4467.0,279.0
Road Works,280.0,,1125.0,2.0,502.0,2.0,421.0,12.0
Road/Pavement Defects,10903.0,,335.0,,73.0,,103.0,
Rubbish,22660.0,2908.0,19709.0,91.0,2158.0,81.0,1971.0,131.0
Salt Bins,,,11.0,,6.0,,8.0,
Shopping Trolley,668.0,,197.0,,,,,
Sign or Marking,,,5.0,,2.0,,9.0,
Skips,81.0,,18.0,,4.0,,1.0,
Spillage on Road,269.0,,149.0,,32.0,,62.0,
Street Cleaning,31102.0,3281.0,18097.0,72.0,2215.0,80.0,2647.0,100.0
Street Furniture,1206.0,,742.0,4.0,156.0,,106.0,1.0
Street Lights,32750.0,4876.0,71317.0,569.0,13828.0,433.0,7237.0,405.0
Street Name Plates,1796.0,398.0,4116.0,25.0,761.0,11.0,671.0,26.0
Street Signs,9569.0,1037.0,16343.0,45.0,3834.0,97.0,6040.0,246.0
To Let Signs,,,23.0,,,,,
Trade Waste,258.0,,,,,,,
Traffic Lights,6253.0,642.0,8492.0,35.0,819.0,19.0,776.0,14.0
Trees and Hedges RoW,60.0,,662.0,,212.0,,238.0,
Trees on RoW,125.0,,382.0,,41.0,,62.0,
Trenches,1.0,,,,,,,
Trip Hazard,,,935.0,47.0,363.0,26.0,211.0,37.0
Untaxed Vehcile,140.0,,,,1.0,,,
Utility Works,121.0,,812.0,,173.0,,141.0,
Vehicle Access,,,21.0,,,,10.0,
Verge Damage,32.0,,70.0,,39.0,,49.0,
Zebra Crossing,18.0,,31.0,,1.0,,3.0,
