SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,375.0,281.0,192.0,167.0,151.0,147.0,138.0,146.0,106.0,100.0
Bus Stops Damage,136.0,78.0,73.0,72.0,60.0,54.0,45.0,46.0,42.0,55.0
Dog Fouling,543.0,335.0,285.0,521.0,403.0,189.0,293.0,282.0,243.0,218.0
Highways Enquiries,1511.0,961.0,789.0,916.0,1055.0,1031.0,1220.0,1423.0,1303.0,1243.0
Incivilities,405.0,148.0,103.0,120.0,110.0,91.0,62.0,104.0,74.0,93.0
Open Spaces/Parks,209.0,202.0,133.0,165.0,120.0,139.0,112.0,121.0,152.0,144.0
Other,1120.0,722.0,643.0,503.0,566.0,563.0,647.0,671.0,600.0,577.0
Overgrown/Fallen Veg/Trees,139.0,104.0,92.0,90.0,130.0,123.0,108.0,108.0,159.0,157.0
Parking,693.0,325.0,255.0,266.0,202.0,193.0,151.0,166.0,149.0,151.0
Pavement /Footway Defects,1295.0,676.0,554.0,533.0,505.0,492.0,493.0,546.0,571.0,685.0
Public Toilets,11.0,10.0,4.0,4.0,7.0,6.0,8.0,7.0,2.0,4.0
Road Safety,887.0,429.0,253.0,349.0,298.0,349.0,397.0,405.0,365.0,342.0
Road Surface Defects,3961.0,2691.0,2290.0,2211.0,2540.0,3360.0,4295.0,4422.0,3685.0,3196.0
Rubbish,4200.0,1837.0,1086.0,1029.0,884.0,680.0,666.0,1096.0,674.0,540.0
Street Furniture,56.0,39.0,31.0,36.0,39.0,33.0,42.0,35.0,38.0,46.0
Street Lights,1978.0,1219.0,1011.0,985.0,896.0,1081.0,981.0,1087.0,1148.0,1278.0
