SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2228.0,2998.0,3291.0,3756.0,3807.0,3832.0,3777.0,3832.0,3731.0,4893.0
Bridge/Culvert Defects,14.0,31.0,40.0,34.0,44.0,102.0,72.0,78.0,140.0,197.0
Bus Stops Damage,403.0,463.0,397.0,578.0,350.0,393.0,311.0,359.0,401.0,388.0
Dangerous Building/Structure,4.0,14.0,41.0,50.0,74.0,67.0,56.0,79.0,62.0,78.0
Dog Fouling,1615.0,1686.0,1845.0,1719.0,1603.0,1691.0,1525.0,1317.0,1216.0,1028.0
Environmental Health,13.0,36.0,54.0,88.0,60.0,80.0,118.0,131.0,124.0,191.0
Fences,4.0,8.0,15.0,20.0,16.0,22.0,17.0,15.0,28.0,37.0
Gritting,20.0,8.0,17.0,20.0,16.0,11.0,28.0,27.0,34.0,74.0
Grounds Maintenance,154.0,103.0,75.0,54.0,42.0,65.0,66.0,189.0,188.0,276.0
Open Spaces/Parks,1593.0,1962.0,2690.0,2233.0,2170.0,2191.0,1822.0,1826.0,1895.0,2424.0
Other,6457.0,7137.0,6989.0,6803.0,6689.0,6980.0,7135.0,7031.0,7239.0,9280.0
Parking,3430.0,4459.0,4646.0,4461.0,4320.0,4284.0,3878.0,3754.0,3401.0,3543.0
Pavement /Footway Defects,5769.0,6085.0,7470.0,6651.0,6753.0,7355.0,7408.0,7662.0,8913.0,13022.0
Property Damage,3.0,9.0,3.0,8.0,13.0,10.0,14.0,15.0,23.0,37.0
Public Toilets,50.0,48.0,76.0,58.0,86.0,71.0,65.0,71.0,85.0,92.0
Retaining Wall,8.0,10.0,5.0,4.0,3.0,5.0,2.0,10.0,7.0,3.0
Right of Way,245.0,482.0,693.0,978.0,1275.0,1749.0,2087.0,2096.0,2606.0,3164.0
Road Safety,3083.0,3276.0,4013.0,4021.0,4050.0,4205.0,4529.0,5128.0,6254.0,8948.0
Road Surface Defects,11276.0,12804.0,14913.0,16526.0,19187.0,22778.0,26035.0,32957.0,43941.0,62870.0
Rubbish,28053.0,31520.0,35195.0,39599.0,36765.0,38640.0,29563.0,31783.0,24745.0,30423.0
Street Furniture,437.0,641.0,1080.0,1383.0,1403.0,1405.0,2868.0,2430.0,2818.0,4322.0
Street Lights,7443.0,8084.0,8205.0,8584.0,8804.0,9311.0,9583.0,10815.0,11888.0,16159.0
Utility Works,18.0,38.0,38.0,36.0,36.0,69.0,69.0,66.0,103.0,141.0
