SHEF_A,No Photo,Photo
Abandoned Vehicles,21614.0,16751.0
Accumulated Litter,1368.0,1350.0
Admin,1306.0,74.0
Barriers/Bollards on RoW,113.0,192.0
Benches/Bicycle Racks,37.0,47.0
Bin Collection,384.0,145.0
Bin Repair/Replacement,222.0,334.0
Blocked Drains,7576.0,5126.0
Bridge/Culvert Defects,419.0,333.0
Broken Fire Hydrant,1.0,1.0
Broken Kerbs,206.0,207.0
Bus Stops Damage,2993.0,1850.0
C.C.T.V Faults,2.0,1.0
Countryside RoW,19.0,13.0
Dangerous Building/Structure,345.0,172.0
Dead Animals,661.0,157.0
Debris/Spillage,769.0,254.0
Demo,11.0,32.0
Discarded Syringes,4.0,3.0
Dog Fouling,13442.0,5697.0
Dog Litter Bin,56.0,65.0
Dumped Rubbish,5808.0,5823.0
Environmental Health,28.0,19.0
Fallen/Dangerous Trees,17561.0,9237.0
Fences,102.0,80.0
Flooding,901.0,611.0
Floral displays,25.0,24.0
Fly-tipping,84104.0,146234.0
Flyposting,2983.0,2499.0
Garden Waste,2985.0,347.0
Gates/Stiles RoW,31.0,45.0
General Highways Enquiries,1939.0,1095.0
Graffiti,11786.0,18188.0
Grass/Weed Control,4026.0,1795.0
Grids and Drains,107.0,85.0
Grit Bins,43.0,12.0
Gritting,73.0,16.0
Grounds Maintenance,25.0,7.0
Gullies,639.0,493.0
Gully/Manhole Defects,540.0,365.0
Highway Condition,87451.0,29729.0
Highway Drainage,149.0,62.0
Ice & Snow,74.0,13.0
Leafing,279.0,261.0
Lewisham Homes,186.0,555.0
Lit Signs,,1.0
Litter/Litter Bin,1759.0,2710.0
Manhole Covers,1555.0,862.0
Manhole Defects,87.0,46.0
Missed Bin Collection,1376.0,1070.0
Noise,96.0,7.0
Obstruction,2089.0,1785.0
Open Spaces/Parks,10951.0,12045.0
Other,53435.0,23164.0
Overgrown Vegetation,5608.0,3583.0
Parking,23818.0,20589.0
Pavement /Footway Defects,48581.0,43022.0
Pest Control,25.0,5.0
Phoenix HA,17.0,65.0
Potholes,214307.0,51295.0
Property Damage,82.0,53.0
Protected Trees,1.0,2.0
Public Toilets,616.0,189.0
Recycling,398.0,410.0
Retaining Wall,18.0,39.0
Right of Way,2721.0,2743.0
Road Markings,2471.0,945.0
Road Safety,74.0,15.0
Road Surface Defects,12467.0,6937.0
Road Works,646.0,231.0
Road/Pavement Defects,7606.0,2116.0
Rubbish,23569.0,23546.0
Salt Bins,22.0,2.0
Shopping Trolley,397.0,468.0
Sign or Marking,14.0,2.0
Skips,77.0,17.0
Spillage on Road,203.0,127.0
Street Cleaning,31045.0,23107.0
Street Furniture,571.0,547.0
Street Lights,93191.0,20349.0
Street Name Plates,3978.0,2097.0
Street Signs,22094.0,10757.0
To Let Signs,22.0,1.0
Trade Waste,56.0,202.0
Traffic Lights,13609.0,1854.0
Trees and Hedges RoW,671.0,501.0
Trees on RoW,347.0,263.0
Trip Hazard,353.0,321.0
Untaxed Vehcile,84.0,26.0
Utility Works,382.0,232.0
Vehicle Access,15.0,8.0
Zebra Crossing,6.0,1.0
