SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,132.0,186.0,225.0,158.0,138.0,127.0,104.0,96.0,109.0,118.0
Bus Stops Damage,49.0,63.0,55.0,62.0,36.0,41.0,39.0,55.0,68.0,69.0
Dog Fouling,359.0,302.0,204.0,467.0,176.0,165.0,222.0,143.0,231.0,150.0
Open Spaces/Parks,108.0,96.0,110.0,159.0,131.0,92.0,102.0,117.0,100.0,119.0
Other,411.0,387.0,444.0,441.0,425.0,468.0,488.0,431.0,399.0,440.0
Parking,218.0,272.0,236.0,240.0,201.0,180.0,183.0,218.0,146.0,178.0
Pavement /Footway Defects,355.0,426.0,369.0,454.0,464.0,458.0,561.0,523.0,513.0,630.0
Public Toilets,5.0,2.0,3.0,8.0,7.0,13.0,2.0,6.0,4.0,5.0
Road Safety,223.0,192.0,216.0,292.0,291.0,372.0,417.0,369.0,306.0,378.0
Road Surface Defects,1798.0,1647.0,1622.0,1906.0,2490.0,3259.0,3689.0,3404.0,2815.0,2850.0
Rubbish,857.0,1183.0,1008.0,1419.0,929.0,957.0,1519.0,858.0,926.0,841.0
Street Furniture,19.0,15.0,20.0,32.0,27.0,28.0,27.0,37.0,21.0,28.0
Street Lights,712.0,723.0,686.0,758.0,980.0,783.0,808.0,970.0,938.0,1194.0
