SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,380.0,158.0,115.0,78.0,63.0,150.0,406.0,1198.0,2366.0,3245.0,3405.0,3540.0,3385.0,3307.0,3276.0,3130.0,3133.0,2790.0,2533.0,2254.0,1949.0,1611.0,1199.0,779.0
Accumulated Litter,16.0,11.0,4.0,2.0,4.0,3.0,34.0,97.0,190.0,251.0,238.0,198.0,198.0,214.0,188.0,142.0,183.0,153.0,131.0,100.0,113.0,83.0,112.0,53.0
Admin,1.0,1.0,,,,,1.0,4.0,9.0,152.0,233.0,191.0,126.0,98.0,123.0,195.0,172.0,37.0,8.0,13.0,5.0,6.0,4.0,1.0
Barriers/Bollards on RoW,1.0,1.0,1.0,,3.0,3.0,3.0,12.0,16.0,17.0,25.0,27.0,31.0,29.0,30.0,37.0,28.0,18.0,18.0,21.0,15.0,6.0,12.0,3.0
Benches/Bicycle Racks,,,,,,,,3.0,12.0,12.0,7.0,4.0,7.0,6.0,6.0,5.0,9.0,3.0,5.0,5.0,2.0,2.0,1.0,
Bin Collection,8.0,2.0,3.0,,,,5.0,20.0,26.0,58.0,46.0,40.0,41.0,45.0,33.0,39.0,32.0,51.0,46.0,28.0,26.0,28.0,21.0,13.0
Bin Repair/Replacement,5.0,1.0,2.0,1.0,1.0,3.0,4.0,32.0,30.0,68.0,80.0,70.0,64.0,53.0,62.0,53.0,51.0,44.0,34.0,21.0,16.0,10.0,12.0,6.0
Blocked Drains,136.0,33.0,30.0,18.0,20.0,36.0,128.0,345.0,824.0,1378.0,1487.0,1455.0,1408.0,1273.0,1293.0,1201.0,1128.0,908.0,727.0,577.0,529.0,521.0,400.0,246.0
Bridge/Culvert Defects,5.0,3.0,,5.0,,5.0,9.0,34.0,67.0,103.0,136.0,148.0,121.0,103.0,135.0,115.0,107.0,65.0,57.0,42.0,30.0,29.0,20.0,11.0
Broken Fire Hydrant,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
Broken Kerbs,7.0,2.0,,,1.0,3.0,5.0,12.0,32.0,85.0,86.0,98.0,85.0,69.0,75.0,63.0,65.0,46.0,35.0,37.0,46.0,21.0,24.0,6.0
Bus Stops Damage,122.0,66.0,57.0,21.0,27.0,41.0,77.0,175.0,327.0,370.0,405.0,355.0,388.0,377.0,337.0,338.0,359.0,345.0,278.0,290.0,302.0,271.0,161.0,166.0
C.C.T.V Faults,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,
Countryside RoW,,,,,,,1.0,1.0,1.0,,1.0,9.0,2.0,2.0,3.0,5.0,3.0,1.0,,4.0,,1.0,,
Dangerous Building/Structure,8.0,10.0,4.0,,1.0,1.0,3.0,11.0,26.0,22.0,36.0,45.0,47.0,50.0,51.0,35.0,36.0,30.0,34.0,27.0,34.0,20.0,38.0,19.0
Dead Animals,14.0,9.0,2.0,8.0,1.0,15.0,42.0,102.0,140.0,148.0,122.0,111.0,88.0,73.0,85.0,70.0,71.0,55.0,55.0,42.0,46.0,36.0,29.0,25.0
Debris/Spillage,6.0,3.0,5.0,3.0,,5.0,13.0,38.0,90.0,106.0,113.0,119.0,97.0,101.0,91.0,92.0,99.0,70.0,78.0,49.0,44.0,48.0,37.0,23.0
Demo,,,,,,,,1.0,3.0,1.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,1.0,,2.0,,2.0
Discarded Syringes,,,,,,,,,,,,,,,,2.0,,2.0,1.0,1.0,,,,1.0
Dog Fouling,260.0,122.0,50.0,33.0,49.0,45.0,196.0,733.0,1675.0,2464.0,2177.0,2096.0,1884.0,1925.0,1906.0,1818.0,1721.0,1423.0,1219.0,1186.0,1159.0,977.0,743.0,492.0
Dog Litter Bin,,,,,,1.0,1.0,2.0,15.0,16.0,26.0,19.0,21.0,18.0,18.0,15.0,19.0,11.0,20.0,10.0,5.0,6.0,3.0,
Dumped Rubbish,121.0,45.0,17.0,11.0,11.0,42.0,145.0,503.0,871.0,944.0,888.0,847.0,840.0,819.0,766.0,775.0,798.0,763.0,731.0,554.0,516.0,506.0,466.0,260.0
Environmental Health,2.0,,,,,,,1.0,2.0,5.0,7.0,4.0,3.0,6.0,6.0,5.0,,1.0,2.0,1.0,3.0,3.0,3.0,1.0
Fallen/Dangerous Trees,278.0,151.0,87.0,55.0,54.0,93.0,267.0,819.0,1602.0,2280.0,2400.0,2527.0,2499.0,2359.0,2377.0,2366.0,2253.0,1879.0,1775.0,1550.0,1539.0,1377.0,1124.0,662.0
Fences,,1.0,,,,1.0,,2.0,10.0,29.0,27.0,20.0,12.0,14.0,22.0,20.0,20.0,14.0,7.0,7.0,13.0,10.0,6.0,1.0
Flooding,21.0,7.0,8.0,8.0,6.0,8.0,28.0,98.0,265.0,501.0,509.0,486.0,427.0,415.0,392.0,396.0,328.0,221.0,158.0,132.0,119.0,114.0,84.0,50.0
Floral displays,,1.0,,,,,1.0,1.0,1.0,2.0,7.0,3.0,5.0,,2.0,6.0,3.0,3.0,3.0,3.0,5.0,3.0,,
