SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,37.0,79.0,109.0,88.0,128.0,69.0,84.0,45.0,56.0,59.0
Bus Stops Damage,10.0,25.0,26.0,15.0,29.0,24.0,37.0,32.0,24.0,37.0
Dog Fouling,32.0,94.0,141.0,130.0,168.0,216.0,187.0,117.0,104.0,131.0
Open Spaces/Parks,25.0,64.0,164.0,83.0,117.0,82.0,123.0,132.0,96.0,155.0
Other,265.0,270.0,382.0,356.0,384.0,270.0,409.0,338.0,255.0,274.0
Parking,55.0,160.0,189.0,253.0,230.0,191.0,291.0,277.0,184.0,282.0
Pavement /Footway Defects,199.0,293.0,374.0,389.0,471.0,341.0,361.0,441.0,323.0,453.0
Public Toilets,7.0,4.0,,2.0,5.0,5.0,14.0,6.0,1.0,2.0
Road Safety,129.0,145.0,124.0,119.0,136.0,102.0,124.0,155.0,129.0,142.0
Road Surface Defects,1526.0,925.0,768.0,883.0,741.0,642.0,881.0,805.0,819.0,996.0
Rubbish,575.0,1311.0,1541.0,1471.0,1608.0,955.0,1596.0,1161.0,767.0,709.0
Street Furniture,8.0,19.0,27.0,30.0,16.0,8.0,26.0,22.0,22.0,21.0
Street Lights,166.0,409.0,517.0,558.0,511.0,593.0,721.0,692.0,517.0,769.0
