SHEF_B,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,330.0,133.0,106.0,63.0,53.0,138.0,374.0,1093.0,2082.0,2767.0,2885.0,3058.0,2899.0,2809.0,2827.0,2686.0,2674.0,2433.0,2199.0,1963.0,1689.0,1394.0,1036.0,674.0
Bridge/Culvert Defects,5.0,3.0,,5.0,,3.0,8.0,27.0,44.0,45.0,46.0,51.0,58.0,53.0,73.0,49.0,56.0,59.0,50.0,40.0,26.0,21.0,20.0,10.0
Bus Stops Damage,102.0,61.0,56.0,20.0,25.0,39.0,73.0,167.0,286.0,324.0,347.0,305.0,324.0,324.0,278.0,280.0,305.0,301.0,226.0,239.0,252.0,236.0,143.0,130.0
Dangerous Building/Structure,8.0,8.0,4.0,,1.0,1.0,2.0,9.0,23.0,22.0,32.0,41.0,44.0,47.0,40.0,32.0,34.0,30.0,31.0,24.0,24.0,19.0,32.0,17.0
Dog Fouling,180.0,85.0,35.0,19.0,28.0,35.0,159.0,630.0,1330.0,1848.0,1590.0,1456.0,1316.0,1358.0,1357.0,1355.0,1226.0,1050.0,867.0,841.0,821.0,702.0,520.0,331.0
Environmental Health,6.0,2.0,,,,4.0,10.0,45.0,79.0,89.0,88.0,78.0,64.0,55.0,59.0,49.0,51.0,49.0,41.0,34.0,34.0,30.0,16.0,12.0
Fences,,1.0,,,,1.0,,2.0,5.0,20.0,20.0,16.0,10.0,9.0,19.0,11.0,16.0,12.0,7.0,7.0,11.0,8.0,6.0,1.0
Gritting,1.0,,,,,1.0,5.0,7.0,18.0,28.0,19.0,25.0,14.0,14.0,23.0,11.0,17.0,13.0,8.0,14.0,9.0,15.0,6.0,7.0
Grounds Maintenance,15.0,7.0,7.0,1.0,3.0,6.0,13.0,30.0,81.0,90.0,98.0,85.0,79.0,81.0,58.0,77.0,77.0,82.0,63.0,51.0,56.0,69.0,51.0,32.0
Open Spaces/Parks,211.0,102.0,49.0,31.0,29.0,55.0,239.0,673.0,1247.0,1680.0,1760.0,1745.0,1719.0,1610.0,1596.0,1725.0,1585.0,1416.0,1296.0,1165.0,1051.0,908.0,682.0,431.0
Other,898.0,447.0,247.0,143.0,201.0,276.0,810.0,2018.0,3788.0,5281.0,5725.0,5844.0,5581.0,5405.0,5508.0,5559.0,5595.0,4906.0,4481.0,4130.0,4018.0,3601.0,3045.0,1893.0
Parking,520.0,255.0,127.0,81.0,69.0,141.0,379.0,1101.0,2110.0,3069.0,3037.0,2941.0,3026.0,3055.0,2942.0,3407.0,3178.0,2854.0,2674.0,2588.0,2386.0,1998.0,1562.0,907.0
Pavement /Footway Defects,882.0,376.0,197.0,133.0,110.0,221.0,721.0,1952.0,4001.0,5878.0,6454.0,6478.0,6487.0,6069.0,6287.0,6229.0,6088.0,5238.0,4733.0,4503.0,4224.0,3595.0,2966.0,1825.0
Property Damage,3.0,2.0,1.0,,,1.0,1.0,3.0,5.0,6.0,8.0,10.0,10.0,10.0,10.0,9.0,20.0,9.0,8.0,3.0,5.0,5.0,1.0,5.0
Public Toilets,10.0,6.0,1.0,,2.0,5.0,5.0,14.0,24.0,46.0,62.0,54.0,48.0,63.0,63.0,71.0,52.0,49.0,57.0,47.0,43.0,33.0,25.0,25.0
Retaining Wall,,1.0,,,,,,,5.0,3.0,1.0,5.0,5.0,5.0,6.0,2.0,6.0,3.0,5.0,6.0,,1.0,1.0,2.0
Right of Way,224.0,63.0,16.0,9.0,17.0,35.0,151.0,393.0,724.0,1112.0,1304.0,1161.0,1044.0,981.0,1014.0,1119.0,1031.0,949.0,900.0,908.0,723.0,582.0,493.0,422.0
Road Safety,769.0,375.0,203.0,150.0,140.0,236.0,552.0,1446.0,2777.0,3458.0,3424.0,3393.0,3388.0,3248.0,3336.0,3445.0,3366.0,3164.0,2971.0,2780.0,2753.0,2598.0,2368.0,1605.0
Road Surface Defects,3123.0,1279.0,722.0,505.0,472.0,890.0,2774.0,8109.0,15870.0,19197.0,19767.0,20284.0,20252.0,20159.0,20158.0,20314.0,20691.0,19473.0,18014.0,16922.0,16055.0,14677.0,11769.0,6791.0
Rubbish,2785.0,1178.0,560.0,432.0,423.0,996.0,4176.0,12729.0,23407.0,28202.0,28310.0,28222.0,25754.0,24902.0,24273.0,23675.0,22882.0,20533.0,18829.0,16108.0,14081.0,11653.0,9139.0,5602.0
Street Furniture,149.0,79.0,40.0,25.0,30.0,39.0,219.0,711.0,1138.0,1620.0,1738.0,1487.0,1463.0,1345.0,1294.0,1289.0,1233.0,1089.0,947.0,879.0,798.0,724.0,561.0,362.0
Street Lights,2842.0,1459.0,707.0,479.0,371.0,673.0,1570.0,2845.0,4098.0,5811.0,5717.0,5527.0,5179.0,4716.0,4718.0,4635.0,5427.0,6637.0,7494.0,8753.0,9144.0,9835.0,9281.0,5622.0
Utility Works,2.0,3.0,1.0,2.0,,2.0,5.0,16.0,41.0,44.0,53.0,31.0,36.0,40.0,35.0,54.0,48.0,34.0,48.0,39.0,25.0,25.0,19.0,11.0
