SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,75.0,97.0,117.0,93.0,75.0,74.0,51.0,61.0,72.0,40.0
Bus Stops Damage,27.0,14.0,28.0,34.0,23.0,25.0,28.0,25.0,28.0,27.0
Dog Fouling,101.0,148.0,160.0,214.0,151.0,111.0,125.0,124.0,98.0,87.0
Open Spaces/Parks,82.0,132.0,102.0,68.0,113.0,63.0,91.0,101.0,154.0,135.0
Other,331.0,340.0,377.0,340.0,287.0,285.0,334.0,332.0,330.0,248.0
Parking,235.0,240.0,219.0,242.0,181.0,177.0,242.0,181.0,234.0,159.0
Pavement /Footway Defects,265.0,349.0,412.0,335.0,341.0,274.0,373.0,366.0,488.0,442.0
Public Toilets,3.0,3.0,4.0,4.0,1.0,4.0,8.0,4.0,4.0,11.0
Road Safety,85.0,111.0,121.0,92.0,121.0,124.0,146.0,165.0,204.0,136.0
Road Surface Defects,439.0,649.0,734.0,676.0,657.0,941.0,1142.0,1227.0,1383.0,1137.0
Rubbish,2256.0,1751.0,1246.0,1176.0,1350.0,801.0,791.0,790.0,990.0,543.0
Street Furniture,21.0,30.0,18.0,15.0,10.0,8.0,17.0,33.0,23.0,24.0
Street Lights,352.0,473.0,725.0,447.0,497.0,326.0,545.0,595.0,776.0,717.0
