SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,8826.0,7086.0,5417.0,4151.0,3785.0,3212.0,2911.0,2593.0,2192.0,1499.0
Bin Replacement,424.0,80.0,34.0,57.0,64.0,84.0,72.0,73.0,54.0,7.0
Bridge/Culvert Defects,57.0,52.0,51.0,63.0,114.0,139.0,139.0,174.0,388.0,173.0
Bus Stops Damage,834.0,706.0,567.0,489.0,400.0,399.0,402.0,286.0,336.0,291.0
Dangerous Building/Structure,327.0,177.0,48.0,23.0,17.0,13.0,16.0,9.0,23.0,50.0
Dog Fouling,2172.0,2169.0,1985.0,2299.0,1967.0,2388.0,2133.0,1995.0,1960.0,2161.0
Drainage,2188.0,2811.0,1953.0,1739.0,2315.0,2715.0,3104.0,3675.0,5234.0,3659.0
Environmental Health,272.0,272.0,196.0,120.0,106.0,107.0,101.0,212.0,76.0,13.0
Fences,3.0,15.0,36.0,34.0,28.0,35.0,17.0,36.0,24.0,8.0
Floral Displays,12.0,15.0,17.0,2.0,,3.0,,,,
Gritting,20.0,57.0,26.0,21.0,26.0,51.0,31.0,49.0,104.0,48.0
Grounds Maintenance,108.0,154.0,147.0,268.0,306.0,298.0,336.0,368.0,369.0,327.0
Highways Enquiries,11985.0,12031.0,10681.0,10450.0,10834.0,12714.0,13436.0,12967.0,14403.0,13789.0
Incivilities,12942.0,8823.0,5585.0,3146.0,2845.0,2306.0,2173.0,1644.0,1627.0,1430.0
Open Spaces/Parks,4457.0,3514.0,2790.0,2321.0,2171.0,1699.0,1720.0,1605.0,1505.0,1473.0
Other,11591.0,13536.0,11226.0,9917.0,9456.0,9251.0,9198.0,8907.0,9484.0,8068.0
Overgrown/Fallen Veg/Trees,4297.0,5514.0,4844.0,4212.0,4633.0,4977.0,5307.0,5565.0,6370.0,5257.0
Parking,5735.0,6158.0,6202.0,5101.0,4629.0,4309.0,3987.0,3656.0,3440.0,3009.0
Pavement /Footway Defects,10955.0,11212.0,10227.0,8655.0,8493.0,8736.0,8034.0,7637.0,8072.0,7791.0
Property Damage,,11.0,13.0,21.0,29.0,16.0,12.0,15.0,13.0,5.0
Public Toilets,116.0,120.0,85.0,82.0,75.0,110.0,76.0,64.0,78.0,46.0
Retaining Wall,13.0,13.0,10.0,6.0,3.0,2.0,6.0,4.0,,
Right of Way,1476.0,2305.0,1646.0,1441.0,1731.0,2206.0,2031.0,2322.0,2758.0,1290.0
Road Safety,6262.0,7711.0,6057.0,5131.0,5349.0,5459.0,5603.0,5588.0,6309.0,4585.0
Road Surface Defects,19428.0,25809.0,26030.0,26187.0,29742.0,35312.0,38059.0,42523.0,48784.0,39391.0
Rubbish,134480.0,63189.0,32740.0,22203.0,19559.0,18784.0,18346.0,17708.0,17429.0,14136.0
Street Furniture,4634.0,5879.0,3500.0,1867.0,1347.0,1085.0,1050.0,941.0,1157.0,1580.0
Street Lights,8093.0,14932.0,14728.0,13009.0,13398.0,12743.0,11959.0,11318.0,13138.0,11949.0
Utility Works,85.0,118.0,116.0,163.0,163.0,152.0,162.0,162.0,104.0,23.0
