SHEF_B,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Abandoned Vehicles,3020.0,2847.0,3092.0,2762.0,2955.0,3227.0,3636.0,3473.0,3620.0,3577.0,3314.0,2842.0
Bridge/Culvert Defects,63.0,63.0,45.0,58.0,50.0,67.0,42.0,60.0,61.0,100.0,67.0,76.0
Bus Stops Damage,385.0,438.0,407.0,311.0,320.0,379.0,366.0,476.0,410.0,458.0,521.0,372.0
Dangerous Building/Structure,49.0,46.0,54.0,37.0,44.0,43.0,40.0,35.0,55.0,39.0,40.0,43.0
Dog Fouling,2513.0,2685.0,2484.0,1614.0,1073.0,1148.0,1076.0,1042.0,1294.0,1382.0,1321.0,1507.0
Environmental Health,63.0,65.0,69.0,66.0,66.0,79.0,97.0,86.0,100.0,86.0,66.0,52.0
Fences,15.0,21.0,19.0,16.0,9.0,16.0,20.0,9.0,14.0,10.0,15.0,18.0
Gritting,67.0,42.0,18.0,3.0,5.0,4.0,5.0,5.0,13.0,14.0,30.0,49.0
Grounds Maintenance,135.0,143.0,118.0,81.0,65.0,75.0,84.0,116.0,89.0,132.0,98.0,76.0
Open Spaces/Parks,1159.0,1258.0,1415.0,1672.0,2530.0,3533.0,3054.0,2495.0,2125.0,1588.0,1191.0,985.0
Other,6060.0,6360.0,6381.0,5582.0,6207.0,7853.0,8551.0,7849.0,6799.0,6316.0,5845.0,5597.0
Parking,3409.0,3705.0,3786.0,3065.0,3332.0,3872.0,4098.0,3742.0,4224.0,4092.0,3807.0,3275.0
Pavement /Footway Defects,6243.0,6408.0,6371.0,5619.0,6655.0,9291.0,9535.0,8287.0,8054.0,7098.0,6597.0,5489.0
Property Damage,15.0,11.0,15.0,9.0,10.0,12.0,12.0,9.0,6.0,14.0,14.0,8.0
Public Toilets,68.0,83.0,63.0,79.0,68.0,66.0,90.0,78.0,68.0,60.0,39.0,43.0
Retaining Wall,6.0,2.0,4.0,5.0,2.0,6.0,5.0,6.0,10.0,2.0,5.0,4.0
Right of Way,996.0,1096.0,843.0,830.0,1092.0,1691.0,1775.0,1745.0,1673.0,1308.0,1258.0,1068.0
Road Safety,4544.0,4749.0,4456.0,3651.0,3769.0,4136.0,4225.0,4326.0,4463.0,4728.0,4742.0,4156.0
Road Surface Defects,40768.0,50607.0,49163.0,29104.0,20881.0,17479.0,13992.0,12424.0,11833.0,13029.0,15687.0,23300.0
Rubbish,27247.0,25475.0,28187.0,26735.0,26949.0,29992.0,34518.0,32539.0,31995.0,29271.0,28875.0,27068.0
Street Furniture,1602.0,1417.0,1410.0,1169.0,1356.0,1525.0,1600.0,1696.0,1798.0,1731.0,2026.0,1929.0
Street Lights,14625.0,10759.0,8672.0,5676.0,4804.0,4644.0,5302.0,6653.0,9190.0,13479.0,16124.0,13612.0
Utility Works,48.0,58.0,59.0,42.0,45.0,56.0,53.0,52.0,47.0,62.0,42.0,50.0
