SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,5514.0,5960.0,5288.0,4118.0,3606.0,2976.0,2621.0,2305.0,2048.0,1709.0
Bridge/Culvert Defects,192.0,137.0,77.0,56.0,50.0,53.0,45.0,46.0,79.0,17.0
Bus Stops Damage,472.0,615.0,486.0,433.0,385.0,371.0,337.0,334.0,304.0,306.0
Dangerous Building/Structure,141.0,149.0,64.0,64.0,42.0,37.0,10.0,8.0,6.0,4.0
Dog Fouling,1067.0,1506.0,1493.0,1505.0,1369.0,1541.0,1440.0,1614.0,1762.0,1948.0
Environmental Health,192.0,170.0,161.0,134.0,95.0,58.0,45.0,11.0,24.0,5.0
Fences,21.0,36.0,22.0,24.0,24.0,15.0,17.0,16.0,5.0,2.0
Gritting,54.0,31.0,32.0,27.0,31.0,23.0,24.0,15.0,10.0,8.0
Grounds Maintenance,148.0,156.0,107.0,119.0,100.0,122.0,62.0,198.0,119.0,81.0
Open Spaces/Parks,3051.0,3306.0,2658.0,2250.0,1892.0,1912.0,1862.0,1360.0,1333.0,1182.0
Other,9579.0,9254.0,8587.0,7884.0,7052.0,6880.0,6476.0,5962.0,5347.0,4719.0
Parking,3262.0,4500.0,4781.0,4401.0,4246.0,4044.0,3999.0,3842.0,3746.0,3355.0
Pavement /Footway Defects,7452.0,9863.0,9212.0,8661.0,8135.0,7507.0,7229.0,6940.0,6434.0,5655.0
Property Damage,11.0,13.0,17.0,17.0,8.0,23.0,21.0,12.0,12.0,1.0
Public Toilets,89.0,96.0,66.0,73.0,70.0,64.0,62.0,54.0,43.0,85.0
Retaining Wall,6.0,6.0,14.0,10.0,2.0,5.0,2.0,9.0,2.0,1.0
Right of Way,3732.0,2705.0,1819.0,1601.0,1466.0,1135.0,1070.0,790.0,659.0,398.0
Road Safety,7189.0,6965.0,5756.0,5191.0,4692.0,4195.0,3869.0,3663.0,3101.0,2886.0
Road Surface Defects,49342.0,35379.0,29794.0,26831.0,23025.0,21807.0,20968.0,20036.0,19160.0,16945.0
Rubbish,71705.0,70741.0,50315.0,33812.0,26028.0,18313.0,17618.0,13408.0,12939.0,11407.0
Street Furniture,2484.0,3467.0,3814.0,3049.0,1914.0,1403.0,1035.0,566.0,580.0,475.0
Street Lights,7908.0,10603.0,11026.0,12201.0,11396.0,10660.0,9623.0,9131.0,8619.0,7709.0
Utility Works,82.0,107.0,82.0,88.0,63.0,53.0,36.0,46.0,39.0,18.0
