SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2899.0,4372.0,4483.0,4865.0,4150.0,3861.0,3744.0,3463.0,3564.0,2892.0
Bridge/Culvert Defects,16.0,31.0,41.0,94.0,65.0,85.0,113.0,107.0,100.0,100.0
Bus Stops Damage,449.0,566.0,553.0,664.0,452.0,431.0,447.0,412.0,383.0,482.0
Dangerous Building/Structure,8.0,69.0,82.0,89.0,53.0,74.0,49.0,40.0,38.0,23.0
Dog Fouling,1912.0,2138.0,1963.0,2305.0,2244.0,1830.0,1812.0,1793.0,1603.0,1384.0
Environmental Health,12.0,96.0,71.0,137.0,125.0,113.0,86.0,94.0,98.0,63.0
Fences,4.0,14.0,18.0,20.0,16.0,34.0,16.0,21.0,23.0,16.0
Gritting,12.0,18.0,15.0,25.0,29.0,29.0,42.0,26.0,30.0,29.0
Grounds Maintenance,114.0,95.0,66.0,89.0,95.0,132.0,156.0,198.0,162.0,105.0
Open Spaces/Parks,2080.0,2978.0,2820.0,2717.0,2140.0,1985.0,2094.0,2042.0,2079.0,2047.0
Other,7870.0,8058.0,7868.0,8008.0,8218.0,8353.0,8509.0,7625.0,7406.0,7363.0
Parking,4155.0,5115.0,4793.0,4942.0,4783.0,4343.0,4083.0,4410.0,4035.0,3701.0
Pavement /Footway Defects,6529.0,7263.0,7065.0,8155.0,8448.0,8314.0,9267.0,9146.0,10017.0,11285.0
Property Damage,7.0,2.0,8.0,4.0,20.0,13.0,21.0,16.0,23.0,21.0
Public Toilets,57.0,77.0,75.0,72.0,99.0,85.0,111.0,81.0,77.0,69.0
Retaining Wall,7.0,7.0,10.0,5.0,1.0,3.0,8.0,2.0,11.0,3.0
Right of Way,324.0,602.0,1170.0,1829.0,1890.0,1932.0,2138.0,1937.0,1907.0,1646.0
Road Safety,3244.0,3935.0,4190.0,5088.0,5150.0,5764.0,6218.0,6181.0,5971.0,6128.0
Road Surface Defects,12867.0,15408.0,18285.0,23400.0,29896.0,34280.0,40114.0,40697.0,41659.0,41147.0
Rubbish,41894.0,49863.0,50246.0,48861.0,38056.0,35511.0,26343.0,23565.0,19617.0,14523.0
Street Furniture,560.0,1588.0,1496.0,2193.0,2625.0,1862.0,2106.0,2830.0,2310.0,1670.0
Street Lights,8580.0,9208.0,9382.0,9768.0,10885.0,10674.0,12069.0,12775.0,13840.0,15708.0
Utility Works,11.0,44.0,45.0,52.0,48.0,80.0,83.0,72.0,91.0,88.0
