SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,70.0,66.0,86.0,79.0,84.0,79.0,81.0,80.0,73.0,57.0
Bus Stops Damage,42.0,28.0,22.0,19.0,19.0,18.0,20.0,22.0,27.0,42.0
Dog Fouling,152.0,97.0,146.0,209.0,164.0,116.0,126.0,116.0,88.0,106.0
Open Spaces/Parks,262.0,140.0,153.0,75.0,64.0,88.0,78.0,61.0,51.0,69.0
Other,637.0,349.0,354.0,249.0,270.0,283.0,356.0,237.0,220.0,249.0
Parking,475.0,302.0,223.0,134.0,169.0,155.0,188.0,154.0,157.0,155.0
Pavement /Footway Defects,583.0,425.0,428.0,299.0,311.0,380.0,354.0,318.0,263.0,284.0
Public Toilets,2.0,,4.0,4.0,13.0,2.0,5.0,3.0,7.0,6.0
Road Safety,228.0,152.0,144.0,124.0,106.0,145.0,123.0,83.0,113.0,87.0
Road Surface Defects,1221.0,934.0,938.0,675.0,709.0,1061.0,1216.0,769.0,768.0,695.0
Rubbish,4421.0,1205.0,1104.0,685.0,968.0,791.0,1001.0,489.0,563.0,467.0
Street Furniture,31.0,19.0,22.0,14.0,12.0,20.0,21.0,18.0,8.0,34.0
Street Lights,631.0,576.0,715.0,499.0,449.0,623.0,638.0,476.0,435.0,412.0
