SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,79.0,125.0,113.0,112.0,93.0,102.0,85.0,67.0,67.0,59.0
Bus Stops Damage,31.0,18.0,27.0,34.0,19.0,35.0,31.0,31.0,25.0,29.0
Dog Fouling,141.0,139.0,189.0,184.0,296.0,217.0,170.0,125.0,107.0,89.0
Fallen/Dangerous Trees,61.0,102.0,93.0,136.0,134.0,174.0,156.0,172.0,177.0,175.0
Fly-tipping,1181.0,751.0,927.0,824.0,624.0,718.0,463.0,743.0,557.0,565.0
Flyposting,24.0,5.0,29.0,24.0,48.0,25.0,18.0,27.0,20.0,33.0
Graffiti,54.0,55.0,71.0,59.0,37.0,67.0,57.0,84.0,58.0,160.0
Highway Condition,286.0,348.0,422.0,454.0,506.0,689.0,553.0,683.0,834.0,859.0
Open Spaces/Parks,80.0,98.0,127.0,108.0,91.0,141.0,92.0,124.0,136.0,157.0
Other,298.0,439.0,410.0,405.0,381.0,415.0,343.0,394.0,391.0,422.0
Parking,216.0,257.0,292.0,222.0,274.0,220.0,175.0,264.0,199.0,261.0
Pavement /Footway Defects,268.0,407.0,383.0,355.0,364.0,485.0,372.0,427.0,424.0,545.0
Potholes,537.0,729.0,667.0,801.0,822.0,940.0,1026.0,1287.0,1727.0,1933.0
Public Toilets,3.0,6.0,,8.0,3.0,,6.0,5.0,9.0,9.0
Rubbish,400.0,239.0,393.0,301.0,377.0,418.0,191.0,324.0,319.0,267.0
Street Cleaning,180.0,185.0,257.0,192.0,130.0,215.0,132.0,235.0,169.0,211.0
Street Lights,408.0,660.0,619.0,651.0,600.0,624.0,574.0,531.0,780.0,687.0
Street Name Plates,24.0,35.0,18.0,23.0,14.0,37.0,27.0,35.0,21.0,30.0
Street Signs,52.0,54.0,72.0,77.0,84.0,113.0,90.0,122.0,129.0,176.0
Traffic Lights,36.0,39.0,59.0,31.0,42.0,69.0,50.0,60.0,59.0,62.0
