year,1,2,3,4,5,6,7,8,9,10
2007,397.0,362.0,348.0,294.0,250.0,250.0,268.0,318.0,340.0,369.0
2008,506.0,428.0,331.0,409.0,334.0,351.0,315.0,372.0,430.0,460.0
2009,582.0,514.0,414.0,473.0,358.0,449.0,432.0,471.0,583.0,582.0
2010,478.0,365.0,289.0,274.0,314.0,387.0,313.0,319.0,359.0,321.0
2011,440.0,319.0,330.0,327.0,294.0,400.0,283.0,380.0,358.0,376.0
2012,417.0,318.0,228.0,299.0,248.0,388.0,263.0,295.0,315.0,325.0
2013,489.0,321.0,339.0,348.0,295.0,426.0,295.0,367.0,368.0,381.0
2014,315.0,235.0,208.0,202.0,212.0,257.0,233.0,219.0,223.0,242.0
2015,443.0,342.0,285.0,307.0,284.0,313.0,281.0,317.0,328.0,307.0
2016,585.0,407.0,360.0,348.0,323.0,518.0,322.0,349.0,383.0,408.0
2017,410.0,247.0,294.0,266.0,250.0,376.0,241.0,277.0,281.0,280.0
2018,258.0,224.0,227.0,179.0,171.0,206.0,161.0,216.0,205.0,204.0
2019,387.0,307.0,271.0,264.0,240.0,300.0,260.0,283.0,303.0,298.0
2020,668.0,595.0,471.0,506.0,462.0,521.0,424.0,586.0,674.0,651.0
