year,1,2,3,4,5,6,7,8,9,10
2007,776.0,653.0,826.0,645.0,701.0,598.0,674.0,747.0,784.0,714.0
2008,865.0,769.0,890.0,803.0,991.0,806.0,934.0,732.0,920.0,845.0
2009,1250.0,965.0,1027.0,1042.0,981.0,936.0,1016.0,832.0,1022.0,1030.0
2010,842.0,719.0,704.0,602.0,718.0,625.0,735.0,672.0,682.0,848.0
2011,909.0,792.0,842.0,603.0,758.0,690.0,905.0,727.0,788.0,871.0
2012,973.0,780.0,813.0,695.0,738.0,667.0,806.0,620.0,767.0,765.0
2013,1048.0,720.0,812.0,843.0,770.0,761.0,874.0,810.0,800.0,880.0
2014,795.0,734.0,660.0,588.0,643.0,656.0,689.0,622.0,620.0,714.0
2015,851.0,800.0,656.0,659.0,650.0,750.0,695.0,700.0,744.0,876.0
2016,1021.0,808.0,844.0,626.0,724.0,741.0,793.0,752.0,786.0,1078.0
2017,746.0,545.0,563.0,503.0,549.0,526.0,584.0,547.0,546.0,878.0
2018,836.0,732.0,722.0,616.0,665.0,597.0,736.0,610.0,582.0,709.0
2019,639.0,580.0,554.0,403.0,629.0,617.0,646.0,536.0,603.0,626.0
2020,1360.0,1030.0,1184.0,789.0,979.0,1039.0,1014.0,938.0,1056.0,1327.0
