year,1,2,3,4,5,6,7,8,9,10
2007,909.0,722.0,765.0,652.0,567.0,674.0,676.0,679.0,687.0,786.0
2008,1132.0,812.0,785.0,857.0,713.0,704.0,717.0,886.0,1011.0,938.0
2009,1330.0,932.0,995.0,939.0,785.0,901.0,830.0,1000.0,1196.0,1191.0
2010,1058.0,720.0,551.0,613.0,639.0,782.0,656.0,653.0,779.0,696.0
2011,1017.0,614.0,737.0,703.0,647.0,931.0,749.0,839.0,819.0,825.0
2012,1143.0,778.0,621.0,730.0,588.0,900.0,695.0,712.0,703.0,755.0
2013,1167.0,838.0,737.0,815.0,651.0,928.0,699.0,787.0,827.0,862.0
2014,881.0,658.0,636.0,555.0,588.0,769.0,639.0,661.0,646.0,688.0
2015,1096.0,779.0,703.0,706.0,627.0,827.0,596.0,737.0,675.0,636.0
2016,1253.0,783.0,780.0,727.0,660.0,989.0,579.0,763.0,769.0,867.0
2017,884.0,520.0,571.0,476.0,505.0,798.0,443.0,581.0,632.0,577.0
2018,917.0,712.0,656.0,641.0,542.0,605.0,553.0,692.0,717.0,772.0
2019,836.0,612.0,540.0,495.0,484.0,599.0,558.0,561.0,621.0,527.0
2020,1306.0,1080.0,917.0,952.0,847.0,1070.0,872.0,1059.0,1339.0,1275.0
