year,A1,B1,C1,C2,D1,D2,E1,E2
2007,62736,4171,63222,339,12207,677,12268,1389
2008,67614,4421,63362,373,12481,729,11674,1712
2009,82467,5084,81069,457,15596,879,14640,1919
2010,64469,4754,64645,361,12556,677,11883,1636
2011,71073,4436,71376,355,14747,892,13854,2045
2012,67833,4141,66372,445,12777,826,11810,1712
2013,64024,4737,73673,394,14855,848,14269,2064
2014,61474,4045,56785,364,11670,632,11139,1688
2015,64371,4694,63507,337,12518,774,11891,1756
2016,70793,4890,71525,388,15225,913,16458,2399
2017,53894,3515,52573,278,10444,599,10535,1412
2018,52513,3518,58085,324,11926,784,11835,1665
2019,48447,3540,50889,302,11211,693,11507,1593
2020,97373,6652,88986,453,19014,1032,17530,2408
