year,1,2,3,4,5,6,7,8,9,10
2007,929.0,621.0,546.0,711.0,684.0,554.0,715.0,804.0,649.0,903.0
2008,1146.0,904.0,813.0,726.0,769.0,684.0,843.0,838.0,833.0,996.0
2009,1258.0,956.0,815.0,892.0,1013.0,824.0,911.0,1196.0,981.0,1249.0
2010,871.0,848.0,687.0,582.0,689.0,549.0,676.0,733.0,594.0,920.0
2011,1275.0,862.0,563.0,539.0,806.0,700.0,771.0,815.0,757.0,798.0
2012,1068.0,856.0,690.0,704.0,794.0,703.0,624.0,728.0,684.0,772.0
2013,1172.0,862.0,706.0,670.0,772.0,646.0,798.0,838.0,847.0,1009.0
2014,872.0,827.0,507.0,593.0,568.0,644.0,589.0,681.0,646.0,790.0
2015,1194.0,900.0,620.0,601.0,616.0,640.0,621.0,714.0,685.0,780.0
2016,1272.0,1067.0,668.0,701.0,646.0,625.0,643.0,822.0,751.0,976.0
2017,905.0,837.0,504.0,507.0,458.0,482.0,490.0,575.0,609.0,620.0
2018,1046.0,680.0,413.0,591.0,606.0,602.0,640.0,714.0,596.0,918.0
2019,1015.0,581.0,435.0,518.0,511.0,464.0,468.0,622.0,476.0,741.0
2020,1434.0,1151.0,790.0,888.0,940.0,965.0,1041.0,1063.0,1074.0,1371.0
