year,1,2,3,4,5,6,7,8,9,10
2007,519.0,588.0,540.0,631.0,861.0,687.0,835.0,692.0,756.0,1011.0
2008,617.0,721.0,671.0,819.0,872.0,811.0,1002.0,909.0,948.0,1186.0
2009,742.0,748.0,845.0,946.0,1056.0,1131.0,998.0,1051.0,1164.0,1419.0
2010,539.0,451.0,670.0,678.0,673.0,754.0,774.0,850.0,807.0,953.0
2011,416.0,486.0,700.0,715.0,975.0,832.0,903.0,966.0,988.0,904.0
2012,585.0,599.0,780.0,765.0,834.0,763.0,793.0,949.0,730.0,827.0
2013,569.0,683.0,755.0,759.0,882.0,929.0,792.0,997.0,917.0,1036.0
2014,501.0,566.0,573.0,571.0,674.0,714.0,686.0,932.0,702.0,802.0
2015,486.0,516.0,597.0,704.0,834.0,734.0,844.0,1118.0,770.0,776.0
2016,517.0,554.0,572.0,741.0,917.0,834.0,993.0,1113.0,929.0,1002.0
2017,363.0,469.0,458.0,506.0,524.0,672.0,724.0,962.0,617.0,691.0
2018,410.0,477.0,526.0,628.0,652.0,730.0,753.0,929.0,706.0,996.0
2019,338.0,452.0,491.0,574.0,582.0,595.0,694.0,781.0,650.0,676.0
2020,605.0,703.0,750.0,876.0,1144.0,1130.0,1215.0,1470.0,1248.0,1570.0
