qid,qname,aname,aid
referrer,How did you find out about this site?,From another mySociety site,1
referrer,How did you find out about this site?,"From media such as newspapers, etc",2
referrer,How did you find out about this site?,From a search engine ,3
referrer,How did you find out about this site?,Recommendation by friends or colleagues,4
referrer,How did you find out about this site?,From a campaigning website,5
referrer,How did you find out about this site?,Other,9
referrer_other,How did you find out about this site?,,please specify
referrer,How did you find out about this site?,Can't remember,98
referrer,How did you find out about this site?,Don’t want to answer,95
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),Please select what applies to you,please select what applies to you
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),0 - not at all likely,0
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),1,1
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),2,2
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),3,3
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),4,4
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),5 - neutral,5
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),6,6
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),7,7
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),8,8
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),9,9
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),10 - extremely likely,10
netpromoter,How likely is it that you would recommend this site to a friend or colleague? (assuming they would be interested in such a service),Don’t want to answer,95
authority,What kind of authority did your request go to?,Please select,please select
authority,What kind of authority did your request go to?,Central Government,1
authority,What kind of authority did your request go to?,Local and regional,2
authority,What kind of authority did your request go to?,Education,3
authority,What kind of authority did your request go to?,Environment,4
authority,What kind of authority did your request go to?,Health,5
authority,What kind of authority did your request go to?,Media and Culture,6
authority,What kind of authority did your request go to?,Military and Security Services,7
authority,What kind of authority did your request go to?,Emergency services and the courts,8
