category,SHEF_B,SHEF_B_CODE
1 signal light out,Street Lights,B28
2 signal lights out,Street Lights,B28
Abandoned and Untaxed Vehicles,Abandoned Vehicles,B1
Abandoned car,Abandoned Vehicles,B1
Abandoned vehicle,Abandoned Vehicles,B1
Abandoned vehicles,Abandoned Vehicles,B1
Access to a Countryside Pathway,Right of Way,B23
Accumulated Litter,Rubbish,B26
Admin,Other,B16
All signal lights out,Street Lights,B28
Allotment issue,Open Spaces/Parks,B15
Bad Parking,Parking,B18
Barrier/Bollard on a public right of way,Right of Way,B23
Belisha Beacon broken,Right of Way,B23
Bench/cycle rack/litter bin/planter,Street Furniture,B27
Benches / bicycle racks,Street Furniture,B27
Bin Repair,Bin Replacement,B2
Blocked  Drains,Drainage,B7
Blocked drain,Drainage,B7
Blocked drain / Flooding,Drainage,B7
Blocked drainage gullies,Drainage,B7
Blocked drains,Drainage,B7
Blocked drains and gullies,Drainage,B7
Blocked or damaged drain,Drainage,B7
Bollard light not working,Road Safety,B24
Bollards,Right of Way,B23
Bollards (lit),Road Safety,B24
Bollards (unlit),Road Safety,B24
Bollards on a road or footway,Right of Way,B23
Bollards or railings,Road Safety,B24
Bridge,Bridge/Culvert Defects,B3
Bridge or culvert defect,Bridge/Culvert Defects,B3
"Bridge, Subway or Culvert in an open spa",Bridge/Culvert Defects,B3
"Bridge, Subway or Culvert in an open space",Bridge/Culvert Defects,B3
"Bridge, Subway or Culvert on a public ri",Bridge/Culvert Defects,B3
"Bridge, Subway or Culvert on a public right of way",Bridge/Culvert Defects,B3
"Bridge, Subway or Culvert on a road or f",Bridge/Culvert Defects,B3
"Bridge, Subway Or Culvert on a road or footway",Bridge/Culvert Defects,B3
Bridges,Bridge/Culvert Defects,B3
Bridges/Subways,Bridge/Culvert Defects,B3
Broken Fire Hydrant Covers,Other,B16
Broken Flags/Kerbs,Other,B16
Broken manhole cover,Drainage,B7
Bus shelters,Bus Stops Damage,B4
Bus stop damage,Bus Stops Damage,B4
Bus stop/shelter issue,Bus Stops Damage,B4
Bus stops,Bus Stops Damage,B4
C.C.T.V Faults,Other,B16
Car Park Barrier / Equipment,Parking,B18
Car parking,Parking,B18
Car parking issues,Parking,B18
Car parks,Parking,B18
Car parks (council run),Parking,B18
Car parks (only council run ones),Parking,B18
Car Parks and ticket machines,Parking,B18
Carparks,Parking,B18
Carriageway defect,Road Surface Defects,B25
Council car parks,Parking,B18
Countryside Paths / Public Rights of Way,Right of Way,B23
Countryside Paths / Public Rights of Way (usually not tarmac),Right of Way,B23
